battery_power_mAh,clock_speed,dual_sim,front_cam_mp,5G,int_memory_gb,thickness_cm,weight_grams,n_cores,back_cam_mp,ram_mb,screen_height_cm,screen_width_cm,talk_time_hrs,condition,price
1686,2.8,yes,3,0,38,0.1,166,4,4,2958,14,11,2,like_new,399
1057,2.7,no,3,1,41,0.1,97,4,10,2033,16,9,2,good,179
1616,2.3,yes,3,0,52,0.1,100,5,8,657,7,3,2,fair,92
1911,1.1,no,3,0,25,0.4,106,5,12,1251,11,0,2,fair,35
517,1.5,yes,3,0,38,0.1,97,7,4,2747,11,5,2,excellent,289
1469,0.5,no,3,1,58,0.5,150,7,8,1571,17,16,2,good,209
1602,2.7,no,4,1,46,0.6,118,1,5,1862,16,9,2,good,149
1111,2.5,yes,4,0,46,0.4,152,1,11,851,14,8,2,fair,55
1285,0.8,yes,4,1,11,0.8,199,5,7,3966,17,15,2,like_new,409
649,1.4,no,4,1,19,0.8,190,7,12,739,18,1,2,fair,75
1568,1.8,yes,4,0,22,0.1,119,8,6,294,13,2,2,like_new,409
556,0.9,no,4,1,10,0.8,135,8,12,2040,13,12,2,fair,132
1791,2.3,no,5,0,29,0.9,196,1,6,2500,10,7,2,excellent,299
859,2.7,no,5,0,58,0.4,178,1,16,815,10,4,2,fair,55
1015,0.8,no,5,0,12,0.5,102,3,14,2293,5,1,2,fair,149
1366,1.3,no,5,0,51,1,129,3,15,2716,17,15,2,like_new,289
868,0.9,no,5,0,5,0.4,137,4,7,1519,13,0,2,parts_only,35
854,1,no,5,1,17,0.9,101,4,9,3115,7,0,2,good,263
1413,0.5,yes,5,0,51,0.3,117,5,11,3383,16,5,2,excellent,309
811,2.4,yes,5,1,2,0.3,106,6,13,2111,18,7,2,good,149
510,2,yes,5,1,45,0.9,168,6,16,3919,19,4,2,like_new,409
733,2.1,no,5,1,7,0.2,174,7,10,1403,15,8,2,fair,92
930,1,yes,5,1,40,0.8,128,7,15,3816,13,0,2,like_new,409
973,1.5,no,5,1,57,0.2,190,7,16,2977,6,4,2,excellent,279
866,0.5,yes,5,1,46,0.5,179,8,7,3825,12,11,2,like_new,409
659,2.7,no,6,1,6,0.5,110,3,7,2044,15,5,2,good,149
1680,1.2,yes,6,1,37,0.7,168,4,7,1459,15,3,2,fair,149
1596,1.4,yes,6,0,24,0.3,174,5,15,1251,18,15,2,excellent,289
1524,2.1,yes,6,1,64,0.4,83,5,16,2905,6,1,2,excellent,299
1021,2.1,yes,6,1,47,0.3,173,6,18,2215,13,12,2,good,162
1448,0.5,yes,6,1,45,0.8,138,7,11,3378,13,11,2,like_new,399
926,0.8,no,6,1,59,0.8,161,7,14,256,18,7,2,parts_only,35
1061,2.6,yes,6,0,49,0.6,133,7,20,2260,19,16,2,excellent,279
1429,1,no,7,0,11,0.7,150,4,8,1955,7,5,2,fair,149
1018,0.7,yes,7,0,63,0.1,155,5,18,3048,10,3,2,good,259
719,2.9,no,7,0,6,0.7,102,6,8,841,9,1,2,parts_only,57
671,2.9,no,7,1,2,0.1,95,6,19,2278,13,4,2,excellent,282
918,2.7,no,7,0,25,0.9,149,7,8,3676,6,2,2,like_new,399
1193,2.3,no,7,0,20,1,158,7,13,1958,7,5,2,excellent,279
532,0.5,no,7,0,51,0.6,180,7,14,1525,7,6,2,good,149
1157,0.8,no,7,0,27,0.1,88,8,8,2885,8,4,2,like_new,339
1624,1.6,yes,8,0,28,0.4,150,2,10,2473,16,11,2,excellent,279
1283,2.4,yes,8,1,33,1,93,3,15,773,17,7,2,fair,99
1454,2.6,no,8,0,6,0.4,199,3,20,1300,10,0,2,good,149
1784,0.5,no,8,0,28,0.3,171,4,9,2192,15,13,2,fair,132
1433,2.3,no,8,1,27,0.9,153,7,12,3900,18,16,2,like_new,399
685,0.5,yes,8,1,13,0.8,82,7,15,3210,15,7,2,like_new,399
1946,2.7,yes,8,0,8,0.3,123,8,19,3117,6,0,2,like_new,399
1876,1.3,yes,9,1,64,1,98,3,19,3132,17,0,2,like_new,409
1934,2.7,no,9,1,48,0.1,128,4,18,3370,7,6,2,like_new,399
1581,1,no,9,0,41,0.4,172,4,19,1384,19,9,2,good,149
807,0.5,no,9,0,8,0.3,158,5,20,1284,17,13,2,fair,69
1713,2,no,9,1,5,0.7,199,6,16,1513,15,6,2,good,149
1825,2.3,no,9,1,27,0.8,163,8,11,2502,15,11,2,like_new,399
1878,0.5,no,9,0,29,0.6,85,8,19,1334,18,7,2,fair,109
1795,0.6,yes,10,0,52,0.3,140,2,16,3876,18,17,2,like_new,339
1503,0.7,no,10,1,43,0.2,166,4,14,2122,15,1,2,good,259
1874,2.7,yes,10,0,8,0.9,166,7,13,1246,8,1,2,good,149
1111,1.4,yes,10,0,15,0.5,198,7,14,1630,13,5,2,parts_only,35
1439,1.2,no,11,1,58,0.2,183,1,20,3069,17,11,2,like_new,409
900,0.5,no,11,1,64,0.7,149,4,12,942,13,5,2,fair,149
1537,2.9,no,11,1,46,0.8,158,4,17,2857,17,14,2,like_new,498
879,2.5,no,11,1,14,0.7,83,6,15,349,16,10,2,fair,55
1583,2.1,yes,11,0,14,0.7,148,7,16,1704,17,13,2,excellent,279
1970,1.6,yes,11,1,58,0.3,80,8,19,2372,14,12,2,excellent,289
1422,1.8,no,12,0,3,0.9,145,1,13,3941,9,7,2,like_new,399
625,1.9,no,12,1,33,0.2,191,1,20,3801,10,6,2,excellent,279
501,2.3,no,12,1,54,0.3,131,4,19,2346,13,12,2,good,149
1077,2.5,no,13,1,49,0.6,131,4,14,3454,17,11,2,like_new,399
1825,1.1,yes,13,1,17,0.1,157,4,18,3130,12,4,2,excellent,339
1043,1.8,yes,14,0,5,0.1,193,3,16,3476,12,7,2,like_new,409
1889,2.9,no,15,0,25,0.3,90,2,17,3689,9,6,2,like_new,399
1288,2.8,yes,15,0,50,0.1,121,2,20,3129,17,6,2,like_new,399
1042,2.2,no,15,1,11,0.6,139,5,16,2826,18,0,2,excellent,279
1963,1,no,16,1,34,0.1,157,2,17,714,18,2,2,good,132
533,0.7,yes,16,0,58,0.8,97,5,18,2322,17,3,2,excellent,289
790,2,yes,16,1,11,0.3,87,6,17,3169,6,1,2,excellent,279
1720,1.6,no,18,1,2,0.8,188,5,20,2522,10,5,2,excellent,279
1811,1.2,no,18,1,25,0.8,185,6,19,1677,10,6,2,fair,149
1544,2.4,no,18,1,12,0.1,186,7,20,489,9,4,2,fair,49
756,1,no,0,0,33,0.2,177,1,3,3402,19,0,3,like_new,409
957,0.7,no,0,1,4,0.1,160,2,0,1898,12,4,3,fair,149
1581,1.4,no,0,1,55,0.6,138,2,1,3936,5,1,3,excellent,339
1202,2.4,yes,0,0,19,0.1,122,2,1,595,19,0,3,fair,49
805,1.5,no,0,0,25,0.3,174,2,3,1580,15,13,3,fair,149
1958,1.9,yes,0,0,4,0.2,190,2,3,1409,16,5,3,fair,149
1366,0.7,yes,0,1,34,0.1,150,2,9,3501,13,11,3,excellent,339
557,1.6,no,0,0,24,0.5,125,3,0,1305,12,8,3,fair,47
500,1.4,no,0,0,28,0.4,128,3,1,3460,9,3,3,like_new,409
1122,2.8,no,0,0,28,0.6,184,3,4,1402,14,10,3,good,179
1692,1.3,yes,0,1,25,0.7,149,3,12,3192,9,4,3,like_new,409
1880,0.5,no,0,1,7,0.6,104,4,1,2968,9,0,3,like_new,399
1940,1,yes,0,1,5,0.2,194,4,1,820,19,18,3,fair,149
1476,1.2,yes,0,1,55,0.1,171,4,5,1529,13,8,3,good,263
1590,1.9,no,0,0,13,0.4,111,6,1,2440,19,0,3,like_new,399
867,1.4,yes,0,1,4,0.7,135,6,1,790,13,6,3,fair,75
822,0.5,no,0,1,51,0.3,157,6,20,3846,10,1,3,excellent,339
1469,2.1,no,0,0,8,0.7,123,7,0,1052,8,1,3,fair,85
1802,2.7,yes,0,1,10,0.6,101,7,9,696,14,7,3,fair,99
1562,1.2,yes,0,1,52,0.1,105,7,9,2829,13,10,3,excellent,289
1051,0.9,yes,0,0,16,0.1,100,7,9,305,12,0,3,like_new,409
1807,2,yes,0,1,13,0.5,155,8,0,323,9,3,3,fair,85
1741,1.8,no,0,0,14,0.7,143,8,0,3387,11,3,3,like_new,399
1562,0.7,no,0,0,55,0.1,140,8,1,2096,15,3,3,good,259
793,1.9,yes,0,1,43,0.3,124,8,2,1050,11,9,3,fair,83
1882,2.1,yes,0,0,17,0.1,127,8,5,2996,9,6,3,excellent,279
1185,1.9,no,0,0,31,0.4,152,8,7,2447,16,2,3,excellent,299
858,2.2,no,1,0,50,0.1,84,1,2,3978,17,16,3,like_new,453
1370,1.7,no,1,0,6,0.7,113,1,7,1302,7,3,3,fair,49
848,0.5,yes,1,1,41,0.2,171,2,2,3939,6,3,3,fair,69
1174,0.7,yes,1,1,25,0.8,91,2,8,285,19,7,3,parts_only,35
1104,1.7,no,1,1,60,0.4,199,2,13,1229,6,0,3,fair,83
1649,0.8,yes,1,1,40,0.1,159,3,3,2755,15,9,3,good,263
1561,1.6,yes,1,1,27,0.8,174,3,10,1205,12,7,3,good,159
936,1,no,1,0,18,0.2,153,3,18,2391,12,6,3,excellent,289
539,2,yes,1,0,24,0.5,86,4,2,1326,7,4,3,fair,85
1774,0.5,yes,1,0,45,0.8,145,4,16,879,10,0,3,fair,35
676,1,no,1,1,54,0.8,182,5,2,2650,5,0,3,good,263
1700,0.5,yes,1,0,33,0.8,189,5,2,2477,9,8,3,good,223
709,2.4,yes,1,0,11,0.1,130,5,11,3568,16,14,3,like_new,399
1715,0.5,yes,1,1,18,0.1,96,6,3,2598,17,2,3,excellent,309
1224,1.1,yes,1,1,34,1,138,6,3,2992,13,5,3,excellent,289
1201,0.5,no,1,1,10,0.4,198,6,5,726,11,4,3,fair,65
1709,2.2,yes,1,1,13,0.6,191,6,6,3899,16,13,3,like_new,399
1266,2.6,no,1,0,18,0.4,86,7,2,398,16,8,3,fair,99
1526,2.1,no,1,1,23,0.2,117,7,8,2227,18,10,3,excellent,299
1077,1.7,yes,1,0,58,0.8,86,7,13,3902,9,3,3,like_new,397
1897,3,no,1,1,21,0.5,192,8,2,273,17,6,3,fair,99
623,0.9,no,1,1,3,0.1,102,8,7,3537,16,13,3,excellent,339
1723,1.1,yes,1,0,42,1,164,8,14,3587,10,5,3,excellent,339
1426,2.5,no,2,1,55,0.4,109,1,7,2562,5,1,3,excellent,279
1923,0.5,no,2,1,13,0.7,147,2,4,1868,11,6,3,good,149
1848,1.4,yes,2,1,42,0.7,179,2,10,3902,11,9,3,like_new,339
794,2.7,no,2,1,3,0.3,127,2,18,1141,18,6,3,fair,57
1936,1.3,no,2,0,44,0.1,139,3,3,1400,17,7,3,good,139
1264,2.9,yes,2,1,34,0.2,171,3,3,419,7,4,3,fair,99
586,2.8,no,2,0,15,0.2,83,3,11,2592,12,8,3,good,149
880,1.7,no,2,0,6,0.6,198,4,19,3006,6,4,3,excellent,279
1578,1.9,yes,2,1,37,0.1,138,4,19,2458,19,16,3,excellent,279
555,0.5,yes,2,0,17,0.2,163,5,12,343,19,14,3,fair,57
818,0.5,yes,2,1,23,0.2,192,5,17,2518,19,12,3,excellent,289
1783,2.9,yes,2,0,42,0.7,104,6,8,387,14,5,3,good,179
1162,2.9,yes,2,0,57,0.3,146,7,19,1316,10,2,3,fair,57
1615,2.8,no,3,0,9,0.9,117,1,13,2948,8,3,3,excellent,299
1319,0.9,no,3,1,41,0.9,107,1,18,2227,18,5,3,good,149
1408,2.5,no,3,0,32,0.1,151,4,6,3162,19,18,3,like_new,399
1983,0.5,yes,3,0,43,1,87,6,10,2775,9,4,3,excellent,289
1183,0.5,yes,3,1,48,0.1,120,8,12,1152,8,3,3,parts_only,35
1986,0.5,yes,3,1,51,0.1,165,8,20,1614,17,12,3,good,149
1242,1.8,yes,4,1,56,0.1,122,1,8,2620,18,11,3,excellent,279
735,0.5,yes,4,1,17,0.6,131,2,6,2484,11,2,3,good,223
1938,1.4,yes,4,0,60,0.4,171,2,7,3691,9,5,3,like_new,409
1540,1,no,4,1,40,0.4,162,5,7,793,12,7,3,fair,132
1270,0.5,no,4,1,35,0.1,140,6,19,2828,9,2,3,good,223
1057,0.5,no,4,1,42,0.7,112,7,7,2688,6,3,3,good,223
547,2.4,yes,4,1,3,0.4,197,8,5,1972,11,5,3,good,162
1403,0.5,no,4,1,42,0.5,144,8,9,1381,12,7,3,fair,114
890,2.2,yes,4,0,44,0.5,198,8,13,751,7,3,3,fair,49
1164,1,no,4,1,19,0.9,95,8,18,3309,15,3,3,excellent,339
1497,0.9,yes,4,1,10,0.1,153,8,20,3696,9,0,3,excellent,339
1159,2.8,no,5,1,18,0.5,83,1,7,2246,8,1,3,good,179
1889,2.8,no,5,1,31,1,132,1,10,3672,5,1,3,like_new,498
1487,1.5,no,5,1,42,0.8,120,2,7,2003,12,4,3,excellent,279
1074,1.5,yes,5,0,9,0.1,174,2,7,1649,16,3,3,good,149
1948,2.8,yes,5,1,18,0.2,135,2,14,816,16,2,3,fair,57
1742,0.5,yes,5,1,43,0.9,176,3,7,1921,9,2,3,excellent,289
1796,1.6,yes,5,0,7,0.1,101,4,6,1642,9,4,3,good,159
1509,0.6,yes,5,0,50,0.3,81,4,8,1540,12,8,3,good,149
1892,0.7,no,5,0,47,0.4,110,4,10,2172,17,14,3,excellent,289
1341,1,no,5,1,40,0.2,128,5,12,265,19,3,3,like_new,409
1878,1.5,yes,5,1,56,0.3,139,5,13,2711,8,2,3,excellent,289
546,2.6,yes,5,0,26,1,159,5,15,1550,7,2,3,good,179
904,1.6,yes,5,1,14,0.2,102,8,9,1846,7,0,3,good,149
1464,2.9,yes,5,1,50,0.8,198,8,9,3506,10,7,3,like_new,498
703,1.3,yes,6,1,18,0.1,178,1,9,355,8,6,3,like_new,409
1958,0.5,no,6,1,52,0.4,153,1,14,3064,7,6,3,excellent,309
1547,2.9,yes,6,0,45,0.7,166,2,8,505,12,2,3,fair,99
632,1.2,no,6,1,33,0.5,101,2,10,837,16,4,3,fair,35
798,0.6,yes,6,1,21,0.5,110,2,12,1647,12,2,3,fair,132
1748,1.7,yes,6,1,14,0.5,146,3,7,3968,16,12,3,excellent,397
1973,2.4,yes,6,0,46,0.1,193,4,10,639,6,0,3,fair,49
1976,2.6,yes,6,0,45,1,136,4,19,2470,11,1,3,like_new,399
1650,2.1,yes,6,0,51,0.9,99,5,15,1938,14,0,3,excellent,299
1559,1.6,yes,6,1,6,0.5,162,6,17,3352,9,1,3,like_new,409
1698,0.5,no,6,1,21,0.1,196,7,7,778,7,3,3,good,149
612,1.9,yes,6,0,16,0.3,102,7,7,3161,8,4,3,like_new,399
1923,0.5,yes,7,0,46,0.5,191,1,10,1489,10,9,3,good,149
798,0.5,yes,7,0,2,0.8,148,2,15,3593,14,9,3,excellent,289
636,0.5,no,8,1,28,0.9,152,2,15,2927,15,6,3,good,223
1056,2.1,yes,8,1,37,0.7,101,3,11,2651,15,5,3,excellent,299
1208,0.7,no,8,0,13,0.9,86,3,18,484,11,9,3,fair,69
1855,1,yes,8,0,58,0.9,145,4,14,2834,14,2,3,like_new,409
1702,0.5,yes,8,0,2,0.6,185,6,19,435,12,9,3,fair,57
630,1.8,no,8,1,51,0.9,193,8,9,2751,17,6,3,excellent,299
1883,1.6,no,9,0,24,0.1,87,1,16,3563,17,10,3,excellent,397
776,3,yes,9,0,9,0.5,110,2,12,1346,5,2,3,good,149
1363,2.1,yes,9,1,46,0.5,120,4,19,2951,7,0,3,excellent,279
1944,0.6,yes,9,1,59,0.2,132,7,10,769,19,13,3,fair,35
1339,0.5,yes,10,1,21,0.5,80,4,11,867,8,3,3,fair,65
1408,2.1,yes,10,0,45,0.9,89,5,14,3952,8,6,3,like_new,399
831,2.4,no,10,0,55,0.5,86,6,12,1075,12,11,3,fair,99
718,2.8,no,10,0,59,0.8,113,6,13,1824,11,9,3,good,179
809,0.8,no,10,0,21,0.9,91,7,19,1274,18,7,3,fair,132
1319,1.3,yes,10,0,5,0.1,140,8,17,3502,14,6,3,excellent,339
823,2.5,no,11,1,24,0.5,195,5,15,2279,6,4,3,excellent,279
1689,0.5,no,11,0,9,0.5,150,5,15,2637,8,4,3,good,223
1967,0.5,no,11,1,23,0.6,135,5,16,325,16,0,3,parts_only,32
905,1.9,yes,11,1,12,0.7,173,7,12,852,19,0,3,fair,83
525,2.4,yes,11,0,35,0.8,190,7,20,1609,16,11,3,fair,49
720,0.9,yes,12,1,14,0.8,165,4,14,1086,14,7,3,fair,75
1388,0.6,yes,12,1,17,0.6,174,5,19,324,14,0,3,fair,35
722,1.1,no,12,0,12,1,93,6,20,2359,13,6,3,fair,139
772,1.1,yes,12,0,39,0.8,81,7,14,2819,17,15,3,like_new,409
1138,1.4,no,12,1,44,0.2,187,8,17,3475,19,3,3,excellent,339
1866,0.5,no,13,1,52,0.7,185,1,17,373,14,9,3,parts_only,32
529,1.4,yes,13,1,32,0.7,139,2,17,1561,12,0,3,good,149
1099,0.5,no,13,1,61,0.3,146,3,20,1699,17,10,3,good,149
1560,0.5,no,14,0,47,0.3,172,2,18,1540,17,7,3,fair,114
1615,0.5,no,14,0,15,0.1,132,4,16,3488,16,2,3,excellent,339
1422,1,no,15,0,3,0.1,112,1,17,509,19,1,3,fair,75
683,1.9,yes,16,1,56,0.1,190,1,17,592,17,9,3,fair,49
1055,1.2,yes,18,1,29,0.8,101,6,19,2364,13,3,3,excellent,289
1506,2.9,yes,19,1,47,0.6,130,7,20,1522,5,1,3,fair,57
1765,0.5,no,0,0,24,0.4,135,1,0,791,5,1,4,parts_only,35
1480,0.9,no,0,0,62,0.9,199,1,0,1780,18,14,4,good,149
1828,2.1,yes,0,0,17,0.9,199,1,1,2280,17,14,4,excellent,279
569,2.5,yes,0,0,41,0.3,124,1,1,2651,17,7,4,fair,149
1441,0.6,yes,0,1,53,0.5,106,1,12,1393,9,4,4,good,149
1259,1.2,yes,0,0,13,0.5,97,2,0,340,17,13,4,parts_only,35
1899,0.6,no,0,0,26,0.1,151,2,0,336,13,11,4,parts_only,35
1242,1.1,yes,0,0,10,0.6,165,2,1,1050,11,1,4,parts_only,35
743,0.5,yes,0,1,33,0.3,95,2,1,316,19,10,4,fair,29
1178,1.1,yes,0,1,11,0.5,98,2,1,2106,17,10,4,good,139
584,1.8,no,0,1,19,0.3,168,3,0,465,12,8,4,fair,83
674,2.8,yes,0,1,8,0.2,93,3,0,589,18,6,4,fair,99
1481,2,yes,0,0,35,0.5,105,3,0,2635,17,16,4,excellent,279
1308,1.9,no,0,1,61,0.7,106,3,7,3355,15,2,4,like_new,399
1266,1.9,yes,0,1,7,0.2,184,3,12,2532,10,5,4,excellent,299
807,0.5,yes,0,0,37,0.2,127,4,0,2319,5,4,4,good,212
1138,1.8,yes,0,1,51,0.3,172,4,2,1327,13,12,4,good,162
898,2.7,no,0,0,16,0.2,81,4,4,2286,5,0,4,excellent,282
1913,2.8,no,0,1,7,0.3,136,4,16,3227,6,0,4,like_new,399
726,2.2,no,0,1,40,0.8,94,4,20,1342,16,11,4,fair,92
1296,0.9,yes,0,1,14,0.5,124,5,3,490,7,1,4,fair,75
1411,2.6,no,0,0,61,0.3,165,5,3,483,16,5,4,fair,99
980,0.5,no,0,1,33,0.9,160,6,0,2268,7,5,4,excellent,289
871,1.7,yes,0,0,56,0.6,124,6,2,1794,13,4,4,fair,83
1263,2,no,0,0,5,0.4,146,6,3,1958,9,6,4,excellent,299
1387,1,no,0,1,3,0.9,154,6,5,2909,19,1,4,like_new,409
1272,2.5,yes,0,0,22,0.9,133,6,8,2235,19,4,4,fair,149
554,1.3,no,0,0,12,0.1,105,6,10,3764,10,7,4,excellent,289
688,2.5,yes,0,0,57,0.8,131,7,3,3745,17,1,4,like_new,498
909,1.4,no,0,0,53,0.3,82,8,0,3187,12,9,4,excellent,279
1471,2,no,0,1,54,0.7,127,8,0,3315,17,1,4,like_new,399
765,0.5,yes,0,1,47,0.3,115,8,1,2243,11,7,4,good,212
730,2.1,yes,0,1,4,0.1,89,8,2,1210,19,15,4,fair,92
1543,2.6,yes,0,1,46,0.8,116,8,13,3023,6,4,4,like_new,498
1587,0.5,no,0,0,50,0.9,148,8,15,461,17,4,4,parts_only,32
1760,1.9,no,1,1,50,0.8,198,1,2,2549,10,8,4,excellent,299
1696,1.7,no,1,0,13,0.9,97,3,2,523,5,0,4,fair,83
674,2.9,yes,1,0,21,0.2,198,3,4,1180,6,3,4,fair,99
681,2.6,no,1,0,29,0.9,162,3,7,575,15,5,4,fair,99
1083,2.9,yes,1,1,64,0.8,178,3,11,3210,13,3,4,like_new,399
772,2.4,yes,1,1,10,0.5,80,4,2,3242,18,11,4,like_new,453
648,1.8,no,1,1,60,0.1,195,4,4,819,10,3,4,fair,49
1212,2.6,no,1,1,46,0.3,102,4,8,2249,14,3,4,excellent,299
1600,0.5,no,1,1,16,0.3,94,4,16,2073,9,5,4,excellent,289
1520,0.5,no,1,1,24,0.7,199,5,8,3233,13,3,4,excellent,309
891,1.9,yes,1,1,18,0.1,153,6,3,1303,17,16,4,fair,83
1359,0.5,yes,1,1,58,0.5,107,6,3,1076,16,8,4,fair,69
1571,2.9,no,1,0,30,0.9,150,7,3,586,10,9,4,fair,99
645,0.5,no,1,0,41,1,197,7,10,2962,12,9,4,excellent,289
592,0.8,yes,1,0,52,0.9,103,7,10,1507,5,0,4,parts_only,35
922,1.5,yes,1,1,35,0.9,188,7,15,1165,19,6,4,fair,75
1900,2,yes,1,0,41,0.5,190,8,6,850,5,1,4,good,162
1676,1.6,no,2,0,37,0.2,145,1,3,2515,14,8,4,excellent,279
668,2.3,no,2,1,48,0.3,114,1,19,1201,14,12,4,fair,92
542,0.7,no,2,1,12,0.2,185,2,3,3445,17,2,4,like_new,409
1281,3,yes,2,1,6,0.6,191,2,9,2713,13,7,4,excellent,299
1421,2.9,no,2,0,43,0.2,130,4,11,845,14,6,4,parts_only,57
594,0.8,no,2,1,28,0.1,132,5,3,3087,16,4,4,excellent,289
1370,2.9,no,2,1,24,0.3,100,5,3,1672,10,4,4,fair,57
1278,0.5,yes,2,0,7,1,192,5,3,3067,10,2,4,excellent,289
