,Customer_ID,Age,Subscription_Length_(months),Monthly_Fee,Usage_Rate,Referral_Count,Customer_Satisfaction,Service_Tier,Payment_Method,Active_Status,Auto-Renewal,Join_Date,Annual_Expenditure,Average_Monthly_Discount,Profitability
28,29,61,13,67.5,17,3,5,Premium,Bank Transfer,False,True,2024-04-24,810.0,7.5,114.75
29,30,42,21,75.0,4,2,2,Premium,Credit Card,True,False,2023-04-10,900.0,0.0,30.0
30,31,66,3,25.0,15,3,5,Premium,Credit Card,True,True,2023-11-25,300.0,0.0,37.5
31,32,44,14,100.0,20,2,4,VIP,Bank Transfer,True,False,2023-07-01,1200.0,0.0,200.0
32,33,59,2,25.0,11,1,4,VIP,Bank Transfer,False,True,2024-08-04,300.0,0.0,27.5
33,34,45,18,67.5,1,0,1,Premium,Bank Transfer,False,True,2023-09-22,810.0,7.5,6.75
34,35,33,5,25.0,4,0,1,Premium,Credit Card,False,True,2023-07-27,300.0,0.0,10.0
35,36,32,13,75.0,17,0,5,Premium,Bank Transfer,False,False,2023-01-05,900.0,0.0,127.5
36,37,64,13,67.5,5,0,2,Premium,Bank Transfer,True,True,2023-11-10,810.0,7.5,33.75
37,38,68,24,90.0,20,4,5,VIP,Credit Card,True,True,2023-02-11,1080.0,10.0,180.0
38,39,61,24,90.0,6,1,2,VIP,Credit Card,True,True,2024-02-17,1080.0,10.0,54.0
39,40,69,14,100.0,17,2,5,VIP,Credit Card,False,False,2024-03-28,1200.0,0.0,170.0
40,41,20,12,100.0,12,6,4,VIP,PayPal,True,False,2023-06-18,1200.0,0.0,120.0
41,42,54,21,67.5,10,1,4,Premium,Bank Transfer,True,True,2024-05-22,810.0,7.5,67.5
42,43,68,13,100.0,13,4,4,VIP,Credit Card,False,False,2023-04-19,1200.0,0.0,130.0
43,44,24,18,67.5,21,9,5,Premium,PayPal,False,True,2023-11-20,810.0,7.5,141.75
44,45,38,13,67.5,21,0,5,Premium,Bank Transfer,True,True,2024-06-23,810.0,7.5,141.75
45,46,26,4,25.0,12,5,4,VIP,PayPal,False,True,2023-08-11,300.0,0.0,30.0
46,47,56,23,90.0,10,3,3,VIP,Bank Transfer,True,True,2023-06-06,1080.0,10.0,90.0
47,48,35,22,90.0,21,3,5,VIP,Bank Transfer,True,True,2024-04-15,1080.0,10.0,189.0
48,49,21,10,75.0,18,9,5,Premium,PayPal,False,False,2023-12-27,900.0,0.0,135.0
49,50,42,23,67.5,11,0,3,Premium,Bank Transfer,False,True,2024-05-20,810.0,7.5,74.25
50,51,31,5,25.0,15,2,5,Premium,Credit Card,False,False,2022-12-20,300.0,0.0,37.5
51,52,67,18,100.0,14,4,4,VIP,Credit Card,True,False,2022-09-19,1200.0,0.0,140.0
52,53,26,8,67.5,11,8,4,Premium,Venmo,False,True,2023-04-09,810.0,7.5,74.25
53,54,43,14,75.0,9,1,4,Premium,Bank Transfer,True,False,2023-08-22,900.0,0.0,67.5
54,55,19,2,25.0,11,7,3,Premium,PayPal,False,False,2022-09-04,300.0,0.0,27.5
55,56,37,8,90.0,3,2,2,VIP,Bank Transfer,False,True,2024-03-29,1080.0,10.0,27.0
56,57,45,16,75.0,15,4,5,Premium,Bank Transfer,True,False,2024-06-05,900.0,0.0,112.5
57,58,64,7,100.0,5,3,3,VIP,Credit Card,False,False,2023-05-07,1200.0,0.0,50.0
58,59,24,3,25.0,19,7,4,Standard,Venmo,False,True,2024-02-04,300.0,0.0,47.5
59,60,61,4,25.0,20,1,4,Premium,Credit Card,True,True,2024-03-06,300.0,0.0,50.0
60,61,25,7,50.0,16,5,4,Standard,PayPal,True,False,2023-01-23,600.0,0.0,80.0
61,62,64,4,25.0,4,4,2,Premium,Bank Transfer,True,True,2023-12-17,300.0,0.0,10.0
62,63,52,9,100.0,12,3,4,VIP,Credit Card,False,False,2023-12-02,1200.0,0.0,120.0
63,64,31,23,100.0,8,3,3,VIP,Credit Card,True,False,2024-08-07,1200.0,0.0,80.0
64,65,34,17,75.0,8,2,3,Premium,Credit Card,False,False,2023-01-26,900.0,0.0,60.0
65,66,53,17,75.0,14,4,4,Premium,Bank Transfer,False,False,2023-01-14,900.0,0.0,105.0
66,67,67,20,100.0,13,0,4,VIP,Bank Transfer,False,False,2023-07-28,1200.0,0.0,130.0
67,68,57,14,100.0,0,0,2,VIP,Credit Card,False,False,2023-09-13,1200.0,0.0,0.0
68,69,21,14,67.5,13,8,3,Premium,PayPal,True,True,2023-11-04,810.0,7.5,87.75
69,70,19,13,50.0,21,8,5,Standard,Venmo,False,False,2024-08-21,600.0,0.0,105.0
70,71,23,4,25.0,12,5,4,Basic,PayPal,False,False,2024-07-19,300.0,0.0,30.0
71,72,59,13,67.5,0,1,2,Premium,Credit Card,True,True,2024-07-11,810.0,7.5,0.0
72,73,21,21,30.0,19,8,5,Basic,PayPal,False,False,2022-09-12,360.0,0.0,57.0
73,74,46,17,100.0,3,4,3,VIP,Bank Transfer,True,False,2024-05-16,1200.0,0.0,30.0
74,75,35,15,67.5,17,2,5,Premium,Credit Card,False,True,2022-09-25,810.0,7.5,114.75
75,76,43,18,90.0,11,3,3,VIP,Bank Transfer,True,True,2024-01-09,1080.0,10.0,99.0
76,77,61,11,100.0,6,1,3,VIP,Credit Card,False,False,2023-04-29,1200.0,0.0,60.0
77,78,51,4,25.0,5,2,2,Premium,Credit Card,False,True,2022-10-26,300.0,0.0,12.5
78,79,27,20,67.5,18,6,4,Premium,PayPal,True,True,2023-05-14,810.0,7.5,121.5
79,80,53,11,75.0,1,1,2,Premium,Credit Card,True,False,2023-01-28,900.0,0.0,7.5
80,81,31,10,75.0,14,2,4,Premium,Credit Card,True,False,2023-11-13,900.0,0.0,105.0
81,82,48,22,90.0,21,3,5,VIP,Credit Card,False,True,2023-05-08,1080.0,10.0,189.0
82,83,65,13,67.5,12,0,3,Premium,Bank Transfer,False,True,2023-05-29,810.0,7.5,81.0
83,84,32,22,90.0,10,2,3,VIP,Bank Transfer,False,True,2023-07-03,1080.0,10.0,90.0
84,85,25,8,30.0,15,7,5,Basic,Venmo,False,False,2023-10-07,360.0,0.0,45.0
85,86,31,13,75.0,21,0,4,Premium,Credit Card,False,False,2024-02-28,900.0,0.0,157.5
86,87,40,9,100.0,18,2,5,VIP,Credit Card,False,False,2023-04-13,1200.0,0.0,180.0
87,88,57,1,25.0,5,4,1,VIP,Bank Transfer,True,False,2022-12-12,300.0,0.0,12.5
88,89,38,1,25.0,8,3,4,VIP,Credit Card,True,True,2023-05-11,300.0,0.0,20.0
89,90,33,15,67.5,11,0,4,Premium,Bank Transfer,False,True,2024-08-17,810.0,7.5,74.25
90,91,62,22,100.0,10,3,4,VIP,Credit Card,True,False,2022-09-04,1200.0,0.0,100.0
91,92,35,4,25.0,2,0,3,VIP,Credit Card,True,False,2024-05-30,300.0,0.0,5.0
92,93,64,20,90.0,17,2,5,VIP,Credit Card,True,True,2024-03-04,1080.0,10.0,153.0
93,94,41,1,25.0,12,2,3,Premium,Credit Card,False,False,2023-02-12,300.0,0.0,30.0
94,95,43,12,100.0,12,3,3,VIP,Bank Transfer,False,False,2023-10-31,1200.0,0.0,120.0
95,96,42,11,90.0,14,1,4,VIP,Bank Transfer,True,True,2023-05-14,1080.0,10.0,126.0
96,97,62,19,100.0,18,4,5,VIP,Bank Transfer,True,False,2023-03-08,1200.0,0.0,180.0
97,98,58,15,100.0,14,3,4,VIP,Bank Transfer,True,False,2023-03-26,1200.0,0.0,140.0
98,99,46,21,67.5,14,2,4,Premium,Bank Transfer,True,True,2024-05-12,810.0,7.5,94.5
99,100,32,10,100.0,4,3,3,VIP,Credit Card,True,False,2023-07-13,1200.0,0.0,40.0
100,101,62,1,25.0,4,3,2,VIP,Bank Transfer,True,False,2023-07-07,300.0,0.0,10.0
101,102,18,24,67.5,11,7,3,Premium,PayPal,False,True,2023-07-17,810.0,7.5,74.25
102,103,42,3,25.0,17,1,5,Premium,Bank Transfer,False,False,2022-12-16,300.0,0.0,42.5
103,104,24,14,90.0,15,5,5,VIP,Venmo,True,True,2022-10-20,1080.0,10.0,135.0
104,105,26,15,30.0,11,6,3,Basic,PayPal,False,False,2022-12-24,360.0,0.0,33.0
105,106,41,1,25.0,21,2,5,VIP,Credit Card,False,True,2023-03-27,300.0,0.0,52.5
106,107,18,10,50.0,21,8,5,Standard,PayPal,True,False,2023-10-07,600.0,0.0,105.0
107,108,61,22,75.0,6,4,3,Premium,Credit Card,True,False,2023-12-03,900.0,0.0,45.0
108,109,25,1,25.0,13,5,3,Basic,Venmo,False,False,2024-08-17,300.0,0.0,32.5
109,110,41,15,75.0,19,3,5,Premium,Credit Card,True,False,2024-03-09,900.0,0.0,142.5
110,111,28,3,25.0,12,6,3,VIP,Venmo,True,True,2024-03-26,300.0,0.0,30.0
111,112,68,21,100.0,10,0,4,VIP,Credit Card,False,False,2022-12-18,1200.0,0.0,100.0
112,113,34,20,100.0,19,4,4,VIP,Credit Card,False,False,2022-11-06,1200.0,0.0,190.0
113,114,25,23,27.0,12,6,4,Basic,PayPal,True,True,2024-01-10,324.0,3.0,32.4
114,115,52,22,90.0,7,0,3,VIP,Bank Transfer,True,True,2024-04-12,1080.0,10.0,63.0
115,116,52,12,75.0,20,3,5,Premium,Bank Transfer,False,False,2023-05-08,900.0,0.0,150.0
116,117,50,19,100.0,18,4,5,VIP,Bank Transfer,False,False,2024-05-04,1200.0,0.0,180.0
117,118,22,16,100.0,12,8,4,VIP,PayPal,False,False,2023-08-15,1200.0,0.0,120.0
118,119,59,8,67.5,5,2,3,Premium,Credit Card,False,True,2023-03-29,810.0,7.5,33.75
119,120,56,24,75.0,19,4,4,Premium,Credit Card,False,False,2022-10-12,900.0,0.0,142.5
120,121,58,14,90.0,7,0,4,VIP,Credit Card,True,True,2023-07-18,1080.0,10.0,63.0
121,122,45,18,67.5,2,2,1,Premium,Credit Card,False,True,2024-07-13,810.0,7.5,13.5
122,123,24,23,30.0,14,7,4,Basic,Venmo,True,False,2023-08-27,360.0,0.0,42.0
123,124,26,1,25.0,10,8,3,Standard,PayPal,False,True,2023-10-03,300.0,0.0,25.0
124,125,25,2,25.0,10,5,3,Basic,PayPal,True,True,2024-04-04,300.0,0.0,25.0
125,126,29,24,75.0,17,6,5,Premium,PayPal,True,False,2024-03-27,900.0,0.0,127.5
126,127,51,12,90.0,0,2,2,VIP,Credit Card,False,True,2023-01-05,1080.0,10.0,0.0
127,128,50,17,100.0,5,4,1,VIP,Bank Transfer,False,False,2024-04-01,1200.0,0.0,50.0
128,129,65,2,25.0,1,4,2,Premium,Bank Transfer,True,False,2023-05-28,300.0,0.0,2.5
129,130,40,17,90.0,11,1,4,VIP,Credit Card,False,True,2023-08-21,1080.0,10.0,99.0
130,131,41,21,75.0,16,2,5,Premium,Credit Card,True,False,2022-10-19,900.0,0.0,120.0
131,132,54,7,100.0,9,1,3,VIP,Credit Card,True,False,2023-01-13,1200.0,0.0,90.0
132,133,52,6,100.0,4,4,1,VIP,Credit Card,True,True,2023-07-03,1200.0,0.0,40.0
133,134,61,6,100.0,4,4,2,VIP,Credit Card,True,False,2024-07-14,1200.0,0.0,40.0
134,135,57,22,100.0,1,0,3,VIP,Bank Transfer,True,False,2023-10-01,1200.0,0.0,10.0
135,136,39,8,100.0,11,2,4,VIP,Credit Card,True,False,2022-09-02,1200.0,0.0,110.0
136,137,44,5,25.0,4,3,1,Premium,Credit Card,False,False,2023-01-20,300.0,0.0,10.0
137,138,52,15,90.0,14,4,3,VIP,Credit Card,False,True,2023-02-23,1080.0,10.0,126.0
138,139,18,7,67.5,16,8,5,Premium,PayPal,False,True,2023-05-20,810.0,7.5,108.0
139,140,52,3,25.0,19,0,4,VIP,Credit Card,False,True,2023-02-03,300.0,0.0,47.5
140,141,54,10,67.5,17,2,5,Premium,Credit Card,True,True,2023-12-30,810.0,7.5,114.75
141,142,64,3,25.0,20,1,5,VIP,Credit Card,False,True,2022-12-08,300.0,0.0,50.0
142,143,31,14,67.5,5,2,1,Premium,Credit Card,True,True,2023-12-13,810.0,7.5,33.75
143,144,20,22,50.0,17,9,5,Standard,Venmo,True,False,2023-12-25,600.0,0.0,85.0
144,145,18,3,25.0,18,8,5,Basic,Venmo,True,False,2023-04-22,300.0,0.0,45.0
145,146,22,1,25.0,20,8,4,Premium,PayPal,True,False,2024-07-10,300.0,0.0,50.0
146,147,43,1,25.0,7,1,4,VIP,Credit Card,True,False,2023-04-30,300.0,0.0,17.5
147,148,31,19,90.0,8,3,4,VIP,Bank Transfer,False,True,2024-04-11,1080.0,10.0,72.0
148,149,56,4,25.0,5,2,1,Premium,Credit Card,True,False,2023-08-25,300.0,0.0,12.5
149,150,44,2,25.0,2,2,1,VIP,Credit Card,False,False,2023-12-24,300.0,0.0,5.0
150,151,26,11,50.0,21,7,4,Standard,Venmo,True,False,2023-10-22,600.0,0.0,105.0
151,152,32,24,75.0,7,2,4,Premium,Bank Transfer,False,False,2024-01-19,900.0,0.0,52.5
152,153,32,12,90.0,15,1,5,VIP,Credit Card,False,True,2022-11-05,1080.0,10.0,135.0
153,154,43,13,90.0,18,3,5,VIP,Credit Card,True,True,2024-07-06,1080.0,10.0,162.0
154,155,59,16,90.0,0,1,1,VIP,Bank Transfer,False,True,2023-09-27,1080.0,10.0,0.0
155,156,30,16,75.0,12,3,3,Premium,Credit Card,True,False,2023-03-29,900.0,0.0,90.0
156,157,68,19,67.5,21,4,5,Premium,Credit Card,False,True,2023-04-19,810.0,7.5,141.75
157,158,49,23,90.0,19,2,5,VIP,Bank Transfer,False,True,2023-05-05,1080.0,10.0,171.0
158,159,56,20,90.0,7,1,4,VIP,Bank Transfer,False,True,2024-03-20,1080.0,10.0,63.0
159,160,66,21,100.0,15,2,5,VIP,Bank Transfer,True,False,2023-06-17,1200.0,0.0,150.0
160,161,69,20,100.0,12,3,4,VIP,Credit Card,False,False,2024-04-20,1200.0,0.0,120.0
161,162,49,9,67.5,2,3,3,Premium,Credit Card,True,True,2024-06-11,810.0,7.5,13.5
162,163,21,16,90.0,16,7,5,VIP,PayPal,True,True,2023-09-16,1080.0,10.0,144.0
163,164,47,7,90.0,13,4,4,VIP,Bank Transfer,True,True,2022-11-23,1080.0,10.0,117.0
164,165,54,13,75.0,20,1,4,Premium,Credit Card,False,False,2024-04-19,900.0,0.0,150.0
165,166,40,4,25.0,2,4,2,Premium,Bank Transfer,False,True,2024-07-10,300.0,0.0,5.0
166,167,56,13,75.0,11,3,3,Premium,Bank Transfer,True,False,2023-04-25,900.0,0.0,82.5
167,168,62,8,67.5,11,4,3,Premium,Bank Transfer,True,True,2024-02-11,810.0,7.5,74.25
168,169,32,2,25.0,16,1,5,VIP,Credit Card,False,False,2022-09-21,300.0,0.0,40.0
169,170,60,7,75.0,10,0,4,Premium,Bank Transfer,True,False,2022-12-22,900.0,0.0,75.0
170,171,46,11,75.0,8,0,4,Premium,Bank Transfer,False,False,2023-04-11,900.0,0.0,60.0
171,172,53,17,67.5,4,0,3,Premium,Credit Card,False,True,2024-08-17,810.0,7.5,27.0
172,173,30,24,90.0,10,2,4,VIP,Bank Transfer,True,True,2023-08-12,1080.0,10.0,90.0
173,174,49,14,67.5,6,3,3,Premium,Credit Card,True,True,2022-09-08,810.0,7.5,40.5
174,175,24,13,50.0,19,7,4,Standard,PayPal,False,False,2024-02-12,600.0,0.0,95.0
175,176,68,15,90.0,18,0,5,VIP,Credit Card,False,True,2024-03-19,1080.0,10.0,162.0
176,177,39,22,100.0,19,1,4,VIP,Credit Card,False,False,2023-02-17,1200.0,0.0,190.0
177,178,45,21,90.0,14,3,4,VIP,Bank Transfer,True,True,2024-04-20,1080.0,10.0,126.0
178,179,19,9,67.5,21,7,4,Premium,PayPal,False,True,2023-01-27,810.0,7.5,141.75
179,180,59,3,25.0,10,4,4,VIP,Bank Transfer,True,False,2024-05-04,300.0,0.0,25.0
180,181,62,13,75.0,20,4,4,Premium,Credit Card,False,False,2022-11-19,900.0,0.0,150.0
181,182,23,13,67.5,12,6,4,Premium,Venmo,False,True,2022-10-08,810.0,7.5,81.0
182,183,45,9,75.0,14,2,3,Premium,Bank Transfer,False,False,2023-05-03,900.0,0.0,105.0
183,184,45,18,67.5,16,3,5,Premium,Credit Card,False,True,2024-03-01,810.0,7.5,108.0
184,185,61,5,25.0,2,0,3,Premium,Credit Card,True,True,2023-05-31,300.0,0.0,5.0
185,186,61,11,67.5,19,0,4,Premium,Credit Card,True,True,2023-10-01,810.0,7.5,128.25
186,187,37,2,25.0,3,3,3,Premium,Bank Transfer,False,False,2023-02-16,300.0,0.0,7.5
187,188,47,17,75.0,10,1,3,Premium,Bank Transfer,False,False,2022-10-08,900.0,0.0,75.0
188,189,28,23,45.0,16,9,4,Standard,PayPal,True,True,2022-12-03,540.0,5.0,72.0
189,190,45,20,75.0,6,1,3,Premium,Credit Card,False,False,2024-01-13,900.0,0.0,45.0
190,191,42,21,67.5,19,1,5,Premium,Credit Card,True,True,2023-10-25,810.0,7.5,128.25
191,192,56,4,25.0,21,3,5,VIP,Credit Card,False,True,2024-08-28,300.0,0.0,52.5
192,193,50,22,90.0,13,2,4,VIP,Credit Card,False,True,2022-10-16,1080.0,10.0,117.0
193,194,18,18,67.5,13,7,4,Premium,Venmo,False,True,2024-06-11,810.0,7.5,87.75
194,195,44,24,75.0,12,0,4,Premium,Bank Transfer,False,False,2023-11-30,900.0,0.0,90.0
195,196,69,20,90.0,10,4,4,VIP,Credit Card,True,True,2023-08-09,1080.0,10.0,90.0
196,197,30,8,100.0,17,4,5,VIP,Credit Card,True,False,2023-09-21,1200.0,0.0,170.0
197,198,58,19,90.0,12,0,4,VIP,Credit Card,True,True,2024-01-25,1080.0,10.0,108.0
198,199,20,12,50.0,12,9,3,Standard,PayPal,False,False,2022-11-18,600.0,0.0,60.0
199,200,56,11,75.0,7,4,4,Premium,Credit Card,True,False,2024-06-29,900.0,0.0,52.5
200,201,23,16,67.5,11,7,3,Premium,Venmo,False,True,2023-06-18,810.0,7.5,74.25
201,202,25,5,25.0,11,9,4,Basic,PayPal,True,True,2024-08-04,300.0,0.0,27.5
202,203,44,3,25.0,19,0,5,Premium,Credit Card,False,True,2022-09-23,300.0,0.0,47.5
203,204,26,12,100.0,15,8,4,VIP,PayPal,False,False,2023-08-16,1200.0,0.0,150.0
204,205,54,15,100.0,17,1,4,VIP,Credit Card,False,False,2022-11-06,1200.0,0.0,170.0
205,206,50,16,67.5,17,1,5,Premium,Bank Transfer,True,True,2023-12-27,810.0,7.5,114.75
206,207,68,13,67.5,18,0,5,Premium,Credit Card,False,True,2024-03-30,810.0,7.5,121.5
207,208,59,7,100.0,14,3,4,VIP,Credit Card,True,False,2024-02-03,1200.0,0.0,140.0
208,209,61,15,67.5,2,1,3,Premium,Credit Card,False,True,2024-08-09,810.0,7.5,13.5
209,210,41,3,25.0,8,0,4,VIP,Credit Card,True,True,2023-01-27,300.0,0.0,20.0
210,211,32,12,75.0,21,3,5,Premium,Credit Card,False,False,2024-08-12,900.0,0.0,157.5
211,212,49,8,75.0,17,1,4,Premium,Credit Card,False,False,2023-04-10,900.0,0.0,127.5
212,213,49,12,100.0,19,0,5,VIP,Bank Transfer,True,False,2022-12-27,1200.0,0.0,190.0
213,214,41,18,75.0,19,0,5,Premium,Bank Transfer,True,False,2022-10-27,900.0,0.0,142.5
214,215,58,3,25.0,6,4,1,Premium,Bank Transfer,False,True,2022-11-19,300.0,0.0,15.0
215,216,69,12,67.5,14,1,4,Premium,Bank Transfer,True,True,2023-01-09,810.0,7.5,94.5
216,217,66,23,100.0,10,2,3,VIP,Bank Transfer,True,False,2023-06-29,1200.0,0.0,100.0
217,218,66,21,100.0,12,2,4,VIP,Bank Transfer,False,False,2024-07-25,1200.0,0.0,120.0
218,219,69,23,100.0,16,0,5,VIP,Bank Transfer,False,False,2023-07-21,1200.0,0.0,160.0
219,220,29,2,25.0,18,8,5,Basic,PayPal,True,False,2023-07-04,300.0,0.0,45.0
220,221,56,14,100.0,8,3,4,VIP,Credit Card,False,False,2022-10-18,1200.0,0.0,80.0
221,222,19,14,100.0,16,5,5,VIP,Venmo,False,False,2023-09-28,1200.0,0.0,160.0
222,223,20,4,25.0,14,9,3,Standard,PayPal,False,True,2023-12-04,300.0,0.0,35.0
223,224,66,17,90.0,13,0,4,VIP,Bank Transfer,True,True,2022-11-18,1080.0,10.0,117.0
224,225,54,15,75.0,8,2,4,Premium,Bank Transfer,True,False,2023-01-29,900.0,0.0,60.0
225,226,66,16,67.5,15,4,5,Premium,Credit Card,True,True,2023-01-29,810.0,7.5,101.25
226,227,34,5,25.0,9,3,4,Premium,Bank Transfer,False,False,2022-10-20,300.0,0.0,22.5
227,228,66,24,100.0,11,2,3,VIP,Bank Transfer,False,False,2022-12-23,1200.0,0.0,110.0
228,229,19,17,27.0,12,8,3,Basic,PayPal,True,True,2023-05-27,324.0,3.0,32.4
229,230,19,23,45.0,16,8,4,Standard,PayPal,True,True,2023-10-21,540.0,5.0,72.0
230,231,45,7,90.0,19,2,5,VIP,Credit Card,True,True,2024-07-04,1080.0,10.0,171.0
231,232,40,23,90.0,6,2,1,VIP,Credit Card,True,True,2023-08-21,1080.0,10.0,54.0
232,233,54,15,75.0,11,3,4,Premium,Credit Card,False,False,2022-10-02,900.0,0.0,82.5
233,234,49,17,75.0,4,1,2,Premium,Credit Card,False,False,2023-06-02,900.0,0.0,30.0
234,235,50,12,100.0,16,4,5,VIP,Bank Transfer,True,False,2023-07-21,1200.0,0.0,160.0
235,236,18,11,30.0,19,6,4,Basic,Venmo,False,False,2023-08-12,360.0,0.0,57.0
236,237,36,19,75.0,18,1,4,Premium,Credit Card,False,False,2024-07-06,900.0,0.0,135.0
237,238,19,11,67.5,18,6,5,Premium,Venmo,False,True,2023-05-30,810.0,7.5,121.5
238,239,61,2,25.0,3,3,1,VIP,Credit Card,False,True,2023-05-14,300.0,0.0,7.5
239,240,43,15,67.5,11,1,4,Premium,Credit Card,True,True,2023-04-03,810.0,7.5,74.25
240,241,49,5,25.0,20,3,5,VIP,Credit Card,False,True,2024-08-14,300.0,0.0,50.0
241,242,23,18,50.0,11,9,4,Standard,Venmo,True,False,2023-06-25,600.0,0.0,55.0
242,243,49,21,67.5,14,0,3,Premium,Bank Transfer,False,True,2024-01-07,810.0,7.5,94.5
243,244,21,21,75.0,20,8,5,Premium,PayPal,False,False,2023-10-29,900.0,0.0,150.0
244,245,28,16,30.0,17,8,4,Basic,Venmo,True,False,2023-06-25,360.0,0.0,51.0
245,246,34,4,25.0,0,1,2,VIP,Credit Card,False,True,2024-08-07,300.0,0.0,0.0
246,247,55,23,90.0,13,1,4,VIP,Credit Card,True,True,2023-11-05,1080.0,10.0,117.0
247,248,41,10,90.0,3,2,2,VIP,Bank Transfer,False,True,2022-12-12,1080.0,10.0,27.0
248,249,22,22,75.0,15,8,5,Premium,PayPal,False,False,2024-01-06,900.0,0.0,112.5
249,250,69,2,25.0,17,3,5,VIP,Credit Card,True,True,2022-10-20,300.0,0.0,42.5
250,251,51,15,90.0,19,3,5,VIP,Bank Transfer,False,True,2023-04-27,1080.0,10.0,171.0
251,252,23,4,25.0,11,5,3,Premium,Venmo,False,True,2023-11-17,300.0,0.0,27.5
252,253,39,16,100.0,3,2,3,VIP,Bank Transfer,False,False,2023-07-13,1200.0,0.0,30.0
253,254,28,7,50.0,10,6,4,Standard,PayPal,True,False,2023-07-28,600.0,0.0,50.0
254,255,65,12,67.5,8,2,3,Premium,Bank Transfer,True,True,2023-07-12,810.0,7.5,54.0
255,256,33,3,25.0,18,0,5,VIP,Credit Card,False,False,2023-05-06,300.0,0.0,45.0
256,257,50,17,90.0,7,0,3,VIP,Credit Card,False,True,2023-12-24,1080.0,10.0,63.0
257,258,26,9,90.0,18,6,5,VIP,Venmo,False,True,2022-10-24,1080.0,10.0,162.0
258,259,23,8,45.0,21,8,5,Standard,Venmo,True,True,2023-07-28,540.0,5.0,94.5
259,260,33,23,100.0,12,3,4,VIP,Bank Transfer,True,False,2024-04-12,1200.0,0.0,120.0
260,261,46,6,75.0,7,1,3,Premium,Credit Card,True,False,2023-08-19,900.0,0.0,52.5
261,262,20,15,100.0,11,6,4,VIP,PayPal,True,False,2024-05-03,1200.0,0.0,110.0
262,263,37,10,100.0,17,1,5,VIP,Credit Card,False,False,2023-09-28,1200.0,0.0,170.0
263,264,53,23,75.0,9,3,3,Premium,Bank Transfer,False,False,2023-06-08,900.0,0.0,67.5
264,265,36,6,75.0,19,4,4,Premium,Credit Card,True,False,2024-03-23,900.0,0.0,142.5
