uniq_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating,
1b3d6d9f9c79db8c54c0c2cbb50de1cf,Roco 64723 OBB Railjet Economy Coach V,Roco,£49.95,,1,1,5.0,
79fd94b655dbcf797005e39e700eb3f1,Learning Curve Chuggington Interactive Brewster,Chuggington,,1 new,21,1,4.5,
6c4062e5b0da136365915b470ec9d4a4,Plarail - AS-07 Shinkansen Series 700 (Model Train),Takara Tomy,£14.44,35 new,1,1,5.0,
3b4be663a9878555100854f626202b17,Thomas and Friends Take-n-Play Molly,Fisher-Price,,1 new,8,1,5.0,
8e8be9b29d3b1a794a906510fad8a75d,Hornby R2981 London 2012 1948 Games 00 Gauge Limited Edition Train Pack,Hornby,,2 new,4,1,4.3,
8a9af1fc5f227191c00447b0c44f7700,Gaugemaster HBYS Hornby Type Colour Light Signal for 12v DC,Gaugemaster,£5.95,,5,1,4.8,
93a2c5173f17b896dc614ffbac0c2f2c,Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Hornby,£139.95,3 new,1,1,5.0,
72c57da443c042d8d8bc88f353a5b016,Thomas and Friends Take-n-Play Elizabeth,Fisher-Price,£19.99,,3,1,5.0,
efefa0150b69140f217da35f1f8a9e11,Faller 140322,Faller,£25.50,4 new,1,1,4.0,
b4130b0826214cc02b82b9481569b835,Topro LED Flashing Neon Sensory Maracas Light Up Maracas Toy,Topro,,,1,1,5.0,
e3284186ff6c2c43380001cc010338f0,Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,Bachmann,£99.95,2 new,2,1,4.5,
e4bbad5854ce01970f9e6b879407f72d,Alps Glacier Express (Add-On 4-Car Set) (Model Train),Kato,£49.33,22 new,2,1,5.0,
9cfcb02573dc2bb4f04d8660dec33e84,Hornby Gloucester City Pullman Train Set,Hornby,£82.31,11 new,19,1,4.2,
0172e9caba8351ea12832e4c42e0c840,Dapol Model Railway Stanier 57ft Non-Corridor Coach - OO Gauge Plastic Kit,Dapol,£14.99,,1,1,5.0,
277d90230da7ccb046a7c17fe0da202b,Faller 140428,Faller,,3 new,4,1,4.8,
79e16a6819d997b7053a808a79d341b8,Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,Hornby,£69.99,11 new,17,1,4.8,
21d778f71b5cc00344701881ad1c5fec,Ratio 271 Pratt Truss Signal Gantry Kit to span two tracks,Ratio,£3.40,,1,1,5.0,
cc4c844b8b6c42c63a2c024229ef0b81,Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,£50.81,16 new,1,1,5.0,
d5a8c72773ae4ebb712ffca0054a0461,HIGH SPEED TRAIN BUMP AND GO WITH MUSIC AND LIGHT HIGH QUALITY TOY,ARSUK,£4.99,,1,1,4.0,
0f786326e462000a700e5460d7bfbb98,"TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance, Luggage van",Trix,£36.51,,1,1,5.0,
eaa7356d0552e564a405fc35ceee3bf1,Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,£14.99,2 new,1,1,5.0,
660b30ec7520119f22681588b9b1e25e,S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),Takara Tomy,£11.58,31 new,1,1,5.0,
90f2e5f83df18b920c4aaaa2fd64bca4,Power Trains Freight Military (Pack of 4),Power Trains,,1 new,1,1,5.0,
fe0b2ec319cde46d25c34eda5bdc6089,Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,Hornby,£79.95,9 new,53,2,4.6,
1540ee871c7e224e2dad5c1e0a1b6ec5,WD Austerity 2-8-0 90448 BR Black Late Crest (DCC,RAILWAY - BACHMANN,£135.00,,3,2,4.7,
b7305bef81247f7f4acafbbf8f2bff5f,"KATO 70148015 N Portram TLR 601 Portram, grÃ¼n",Kato,£42.98,29 new,1,1,5.0,
9354e87c34db3d0e347714ae98bc2599,I/G (2) Oldtime Lanterns Working,Busch,£50.01,,1,1,5.0,
bb1c431e390121da9f269b06b68e4e1a,Piko 53366 KSStEB 1st/2nd Class Coach I,Piko,£34.95,,1,1,5.0,
58161fc326cb43d81140ae361911035f,Hornby Digital 15 V 4 Amp Transformer,Hornby,£28.99,6 new,5,1,4.6,
c47c3e59171ae2698a7458963db9a154,Faller 140431,Faller,,3 new,2,1,4.5,
a904e69ec08ecbfde95106cc092c4983,Harry Potter - Diecast Hogwarts Express Train,Corgi,£59.99,5 new,4,1,4.8,
57539ecb926423ce2c0b0231429363f4,Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,Bachmann,£96.00,2 new,1,1,5.0,
8a111d2a3a6bfdc000eeddd439324848,Kato 8002 Koki 10000 Freight Wagon,Kato,£35.20,2 new,1,1,5.0,
995777a914a1edb958a0da25b145643b,Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,£39.03,3 new,6,1,4.8,
51bf530a535196413fc510972bcb5a4c,Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,Dapol,£15.25,,1,1,5.0,
b6e86fd32fc87ffbbb21d52f6ad8f06c,Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Sohni-Wicke,£167.10,,1,1,5.0,
590ad6c0f9bdbbac7887ec4e36eb08a0,Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,£98.50,9 new,6,1,4.7,
225d50e558fd4464b6e1c2416c6b7e4e,Piko 57013 myTrain Diesel Locomotive,Piko,£19.95,,1,1,5.0,
835e3add1236908071ebadf0b29776db,Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Train Tech,£35.00,,3,1,4.3,
6d73a76c4ee846231cbb889d6b09182c,Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,£51.61,33 new,1,1,5.0,
5152452656955a9bf425a11ba221f016,Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,Hornby,£30.99,7 new,38,1,4.6,
b1bbbe466d07d864d703f11c04dd38c6,Hornby Pennine Express Train Set,Hornby,,4 new,3,1,5.0,
092049f9a2107584923622cdcd188c5e,Hornby - Uncoupling Ramp,Hornby,,15 new,10,1,4.1,
d160b9ad8d9c7c7ed1c207a77e9934cc,Roco 10908 Seuthe Smoke Oil,Roco,£6.50,2 new,3,1,4.7,
f02b2132fcb3460565b5de94c05be8a8,Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,CATO,£45.75,13 new,1,1,5.0,
46c4c76cc40741ab53a8135b42e253c6,Dapol B800 Motorised Track Cleaning Wagon,Dapol,£74.60,4 new,7,1,4.6,
28ae83ef10dfcb3959d67de2c4587123,Hornby R1174 Breakdown Hauler Train Set,Hornby,£74.99,3 new,4,1,4.8,
1e9876e6f7e98a6bb869341b4b56efd5,Power Trains Auto Loader City,POWER CITY TRAINS,£76.99,2 new,,1,,
7370f538e03a2b5c543d9ab551c41385,[NEW] Pureoroko C-58 water steam [NEW],Train,£27.60,19 new,1,1,5.0,
326e553d0be9fdde19a4eba2ee356764,Train Tech SK2 Home Signal Kit with R/G LEDs,Train Tech,£8.00,,1,1,5.0,
7ac9dab2688ccf3cc7c8841b00e6c828,Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),Kato,£11.01,27 new,3,1,5.0,
65946ec2a36d8c4c7dc4f324ec27d6cf,Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,Bachmann,£100.00,2 new,1,1,4.0,
d00536420b49a24024d1478353930c08,Piko 59497,Piko,£177.99,,1,1,5.0,
ffa7ca3452b7fba9bd7d2205a6401e77,"Dapol Model Railway ""City of Truro"" Plastic Kit - OO Scale 1/76",Dapol,£10.20,,3,1,4.0,
cda61b59b03b1bb38557774b5f0e6e39,Ratio 575 Permanent Way Set (4 Wagons),Ratio,£22.25,,1,1,5.0,
194f1b693807e89a41dbe61ef6cbb55c,Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,Piko,£15.75,3 new,1,1,5.0,
c2f2229faa77de1279f2f72649ae3bb4,Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,Hornby,£89.99,3 new,1,1,5.0,
21ac3b927d42e0ca97da1384e6221b50,SalesLa New Charming 4 Piece Wood Christmas Railway Wooden Train with 1 Engine Xmas Ornament Decor Gift Green,Sales La,£5.99,,3,1,4.0,
cea1292c07ce1d353f3a9d0d89086ee2,Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,Dapol,£12.30,2 new,1,1,4.0,
9eab0ff60b4865bc7a90a7d8770b88cf,Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,Corgi,£14.99,12 new,6,1,5.0,
799312a77b6debd51fa5a264a248ccc7,MÃ¤rklin my world Battery Operated Signal,MÃ¤rklin my world,£7.99,10 new,1,1,5.0,
e8b32f46fd73960da6bbfdb019df7a36,Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,Bachmann,£104.66,4 new,2,1,5.0,
4b15acfc7dc8ff73020661531b9c3a3d,Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set,Mattel,£13.87,6 new,1,1,5.0,
cf8cbdc12ebc3f75dc145f2b665b429b,20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black,Generic,£2.98,6 new,4,1,5.0,
dda2d6752683937a8c3cd338ccd034a7,Hornby 00 Gauge 247mm BR Gresley Teak Buffet Coach Model (Blue/ Grey),Hornby,£60.25,,2,1,5.0,
f4ca4da2c5a13cca69817062f48749b7,Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive,Hornby,£129.95,3 new,9,1,4.2,
27ef97d8a597ba108beb2e2305030504,Learning Curve Chuggington Interactive Bridges & Tunnels Starter Set,Chuggington,,1 new,13,1,4.2,
146e3c266c7edb06ce8b8538a16e3aff,Hornby R3125 GWR 2-8-0T Class 52XX 00 Gauge Steam Locomotive,Hornby,£119.99,,1,1,5.0,
30cba4e49bcc047cd9d95f9e41105b11,Hornby '00' Gauge R3169 RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Locomotive,Hornby,£65.76,9 new,1,1,5.0,
1db76877c1551b2c4f61ea6c9810922e,Graham Farish 374-807 BR Mk1 RFO Restaurant Car Crimson & Cream,Graham Farish,£26.50,,1,1,4.0,
931f3ee65f6548a4d4dbff820f6a93a4,30 Ton Bogie Bolster BR Grey With Steel Pipes,RAILWAY - BACHMANN,£29.99,,1,1,5.0,
f64ee770588c055e6119febff3824e9b,Hornby R3162A BR 2-BIL 2 Car EMU Pack,Hornby,£116.10,5 new,1,1,5.0,
c8ff1e11a712e55ed0ef02d7c787b80b,Ratio 610 GWR 4 wheel 3rd class 5 compartment coach,Ratio,£11.00,,1,1,5.0,
60ca5f456176a27b44eef289edfc942e,Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model,Hornby,£89.99,2 new,1,1,5.0,
617bb940fe2bcf1590a3c83ff4df31d4,Learning Curve Chuggington Interactive Koko,Chuggington,,1 new,21,1,4.2,
1e65ddc95b48bf211707ca91df150a88,Power Trains 2 Pack - Graffiti Freight,Power Trains,£8.99,3 new,1,1,5.0,
5a56f5c490ca74ae48156a90eda82e34,Carousel Wooden Train Set (100 Piece),Carousel,£36.35,5 new,8,1,4.1,
0ecb946acda4fd2a96e37d3293428aa0,Hornby Model Railway Railroad 0-4-0 Transatlanic Industries Train OO Gauge R3212,Hornby,£27.99,,5,1,4.8,
4b2029c25e531c56b61283ac2559791b,Piko 36165 35mm Metal Wheels (2 Axles),Piko,£20.00,,1,1,5.0,
780044f0f8212723081813f438ca0cee,Hornby '00' Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive,Hornby,£105.00,2 new,1,1,5.0,
4f00afdf4311be7dbe982c4e7b7413cf,TRIX T23228,Trix,£27.40,,1,1,5.0,
29571c0aadc91e0bd66055fa5be5a344,Coal Imitation 00 Gauge,Peptim Scenics,£3.95,,1,1,4.0,
d19c9fca1b537ed5bfe6f3ddd1ecd4fb,Learning Curve Thomas the Tank Duncan,Learning Curve,,2 new,4,1,5.0,
bb2466d62f3fdc9510272ee5233694d3,Walthers Trainline 931-1676 TL 50' PD Boxcar ATSF,Walthers Trainline,£15.00,2 new,1,1,5.0,
9aa711b367533c012cb110d7ebca844b,Preiser 30411 Horse Drawn Box Wagon,Preiser,£137.16,,1,1,5.0,
4fe3fc492f715044ca59b0c4d5f53e72,"Series 225-5000 [Kansai Airport, Kishu-ji Rapid Service] (4-Car Set) (Model Train)",Kato,£163.88,5 new,1,1,5.0,
3612a6c82b71b6f304ed36b7e48b1e38,Lightweight HyDroc,Woodland Scenics,£14.57,6 new,1,1,5.0,
142f98f4a806c7c5d7bdfc3f2417e865,Hornby '00' Gauge R4526 RailRoad Night Mail Operating Mail - GWR Chocolate and Cream Coach,Hornby,£21.95,6 new,4,1,4.8,
9c2578668630183035ebdaf8fcf3e84e,Hornby West Coast Highlander,Hornby,£49.99,4 new,18,1,4.6,
bb1a0e743e6b9d6e94f1e46e1f6a0ea3,Ratio 476 LMS Round Post Signal Kits,Ratio,£10.69,2 new,2,1,5.0,
e40700943d96d5c7e27a832274776116,Roco 64722 OBB Railjet Economy Coach V,Roco,£49.95,,1,1,5.0,
3838fe1a007c0907a56154b65f672414,N gauge 10-1221 E7 system Hokuriku Shinkansen basic set (3 cars),Kato,£70.50,19 new,2,1,5.0,
1b630a8cf3a61521966e86ba1ef37ecf,BR Mk1 SLF Sleeper Car Maroon,RAILWAY - BACHMANN,£33.99,2 new,1,1,4.0,
2e258ccf78b2caa2dbb558f466de3df4,Kato 23-233 Wooden Station & Buildings,Kato,£20.31,35 new,2,1,5.0,
95ddb46815960a546e22a653fbb300e8,Peco ST-3 Setrack 1st Radius Standard Curve,Peco,£1.95,5 new,2,1,4.5,
dc598f016a3664f70ca65a87022a18a6,Hornby R3060 RailRoad BR 'Tornado' Class A1 00 Gauge Steam Locomotive,Hornby,£79.95,7 new,17,1,4.4,
eac1f8ec83ca5cc5fc0a6ddcb481b3f8,Hornby 00 Gauge 270mm BR Mk1 Corridor Composite BR Maroon Coach Model,Hornby,£19.95,3 new,1,1,4.0,
6b9e4719e5fbd968730d3e25168c359b,Toy Train Set High Speed EMU Toy Train with Flashing Light & Music Kids Toys Gift,ARSUK,£5.70,2 new,2,1,4.5,
bf1b59fe9ed3ee095ccf159c2c74e10d,Model Railway 'OO' / 'HO' Scale C88 Schools Class Kings Wimbledon Locomotive Plastic Kit,Dapol,£9.65,4 new,1,1,5.0,
bed1c3d92b6b1343548ddc5a1001ee89,Hornby Gauge Eurostar 2014 Train Set,Hornby,£141.23,9 new,5,1,4.4,
798c64c4eeb48bb985b94d45e5c5cfc0,Corgi 1:50 Fowler Showmans Valiant Pat Collins Amusements on Tour Steam Vehicle Model,Corgi,£83.04,7 new,1,1,5.0,
5c3da61bff1a3bb9237bae149fc100b7,Power Trains Motorized Train Set Freight Military Engine,Power Trains,£21.95,3 new,1,1,5.0,
95263d3e03936bf3a0bd175619b59cba,Fisher Price Thomas and Friends Take-n-play(TM) Talking James,Fisher Price,£16.50,2 new,5,1,5.0,
ae98d9437b91e1550b50395042175ecf,Hornby 00 Gauge RailRoad GWR Restaurant Coach Model,Hornby,£18.99,6 new,1,1,4.0,
aedf496c4f0594f1814f301db907ffad,Kato N Gauge Train Set Case (Kato PlaRail Model Train) [Toy],Kato,£11.04,39 new,2,,5.0,
03756123c54f2857ac841e94b9679189,20pcs Scale 1/200 Model Single Head Street Lights Lamppost,Generic,£4.99,,1,2,5.0,
7b11299d3c618cd5a9e943e0b643a7cf,Dapol 2P-000-101 Collett BR Maroon/Crimson 2nd Class W1117,Dapol,£22.50,,1,2,5.0,
de197cda5c870afd5ed2f85b587e6e79,Hornby 00 Gauge 270mm BR Mk1 Corridor Second BR Coach Model (Chocolate/ Cream),Hornby,£18.12,6 new,1,2,5.0,
bdd43e34552ee5d84b793ccceb27b701,Hornby Gauge Flying Scotsman NRM 2015 Rededication Steam Locomotive,Hornby,£169.99,3 new,1,2,4.0,
f82cb6573e01270552f1649a1f1f5f24,Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set,Hornby,£63.99,18 new,97,2,4.4,
0669d1acffbc127780e2038635b8167a,31-465 Bachmann OO - Class C Wainwright 0-6-0 31579 in BR black with late crest,Bachmann,£104.71,4 new,2,2,4.5,
0130161d344e02254e17e2672279836c,Faller H0 140429 Fairground Ride Rainbow Millennium,Faller,£82.76,5 new,5,2,4.0,
5e40c134ad6f7adda391088022187883,Power Trains Motorized Train Set Freight Industrial Engine,Power Trains,£22.95,2 new,1,2,5.0,
536339e39e38d2f216d0555cf86ba007,Hornby R2987 Brighton Belle 1934 00 Gauge DCC Ready 2 Car Pack,Hornby,£166.04,,1,2,5.0,
3f37d1a60e07edd24c7db5c0915bcb98,Jouef HJ4058 SNCF Type 36 Baggage Coach IV,Jouef,£37.09,,1,2,5.0,
98c5c9a20051ccb66c275b87a5fb6925,Bachmann 31-137 Class D11/2 6399 Allan-Bane LNER Green,Bachmann,£124.93,,1,2,5.0,
c889882abe447fb6a14e36c916e62d9c,Bachmann 37-685 14 Ton Tank Wagon With Large Filler Mex Lamp Oils,Bachmann,£12.00,2 new,1,2,5.0,
41bece2b9073dd6e7c74f4f1b2e51e03,Thomas & Friends Trackmaster Diesel 10 Motorised Engine,Thomas & Friends,,1 new,28,2,4.4,
ed7399c6974d934b43e5bb17f24db355,TRIX T23471 H0 Express coach 1./3. class of K.BAY.STS. B 3. Class,Trix,£41.87,,1,2,5.0,
30ed5646f2d114df38c581072c63856a,Kato 10-809 Freight Train 6 Car Set,Kato,,23 new,2,2,5.0,
83632d8ef8a9fb29f75296b34b7ccd6a,LMS 60ft Porthole Corridor Composite BR,RAILWAY - BACHMANN,£28.98,3 new,1,2,5.0,
8df980439240865028b8808ef7b14cb8,Preiser 30468 Horse Drawn Open Farm Cart,Preiser,£20.21,4 new,1,2,5.0,
1150534cee9ef4fa07f22dd1c709866d,Plarail - S-24 Series 485 Limited Express Train (Model Train),Takara Tomy,£11.08,38 new,1,2,5.0,
efcede0c71a5f78d36c6e0100f9c4fb3,Corgi 1:120 Scale Rail Legends 'Silver Link' A4 ClassDie Cast Stream Locomotive,Corgi,£32.70,4 new,5,2,5.0,
26f0e95eea814ee55fdf0674142faebe,Hornby Gauge Sentinel Barabel Locomotive,Hornby,£51.53,4 new,1,2,5.0,
3771983ef8f14ef1b7738c31a2c05856,Plan Toys Cargo Train,Plan Toys,£15.83,8 new,1,2,5.0,
3b3a0ded5c6b62a881b665c4913c881d,Hornby 00 Gauge 510mm BR 2-BIL 2 Car Electric Multiple Unit Train Model,Hornby,£107.99,,2,2,5.0,
552130d7fc1de1e574df9ea50e527c02,Dapol Model Railway BR Mogul Class Locomotive Plastic Kit - OO Scale 1/76,Dapol,£11.95,4 new,4,2,4.3,
3386e2030e8f3309ba97fc4acfba4814,Dapol 2D-020-002 London Midland Class 153 371,Dapol,£100.00,2 new,1,2,4.0,
808861a3a7355a080e0e1ad3cd51ba3f,B Train Shorty DD51 Diesel Locomotive Renewal Car A(Blue) & B(Red) (2-Car Set) (Model Train),Bandai,£22.58,9 new,1,2,5.0,
c42ec699f63ff3033df87ea3d7a97c9f,Dapol Model Railway Signal Gantry Plastic Kit - OO Scale 1/76,Dapol,£6.99,5 new,4,2,5.0,
985f88a530e38d160ce675525c835546,Atlas 22050 Friction-Bearing Trucks (1 Pr),Atlas,£4.00,,1,2,5.0,
e27b34032fd39ada24f181fd96eaed13,Hornby R3119 LMS Duchess Of Abercorn - No Smoke Deflectors 00 Gauge Steam Locomotive,Hornby,£119.50,2 new,1,2,5.0,
2759c69ce78c8e702713c3ae63cc9259,Plan Toys Fuel Train,Plan Toys,£14.20,6 new,1,2,5.0,
d8ff946959a5d7cb6df65ae4fd15c016,10pcs Scale 1/500 3V Single-Head Model Street Lights Lamppost for Scenary Lighting,Generic,£5.99,2 new,1,2,5.0,
b566ddaaa931ca661ad5238184a9270a,Corgi 1:120 Scale Rail Legends 'Sir Nigel Gresley' A4 Class 60007 Die Cast Stream Locomotive,Corgi,£64.87,3 new,9,2,4.9,
7a5ff5790371f6036aa284e511a28a5c,Hornby Railroad 00 Gauge LNER Class A4 Gadwell with TTS Sound Steam Locomotive,Hornby,,,12,2,4.9,
a8d29a2c05bb402335f29f433eb20beb,Hornby R322 OO Scale Class 8F 2-8-0 Steam Locomotive BR Plain Black Livery Number 48758,Hornby,,1 used,1,2,5.0,
7474cf8f2da17c55263b4b192f18d77b,"Rail King Intelligent Classical Train Track Set With Light ,Smoke & Train Sound Huge Size XMAS GIFT",NMIT,£29.99,,1,2,5.0,
c94992bd3a1075962c5c566187826ce5,BR Mk1 SLSTP Sleeper Car Maroon,RAILWAY - BACHMANN,£35.95,,1,2,4.0,
de3a9b8508d72623ded8cb07dc30331e,Hornby R1167 Flying Scotsman 00 Gauge Electric Train Set,Hornby,£108.99,17 new,67,6,4.2,
7898087f8fef128083ec329a929aac50,Hornby R3036XS BR Railfreight Class 08 00 Gauge DCC Fitted Sound Diesel Electric Locomotive,Hornby,,1 new,2,6,5.0,
6c0f920869922314c4c74c67549ecb13,Viessmann 5550 Universal Toggle Switches Panel (4 Switches),Viessmann,£16.25,5 new,1,6,4.0,
28b34581c89b979a168cf435f1c305c4,J.R. Electric Locomotive Type EH500 (Third Edition) (Model Train),Tommy Tech,£96.95,10 new,1,6,5.0,
059877e664b850b1637439cd4ee88174,Hornby 00 Gauge 274mm 1st Class Brighton Belle Car Pullman Trailer No.2 Coach Model,Hornby,,5 new,1,6,5.0,
9431d2d0575064a3d89bb2cd788cacc4,Hornby 00 Gauge 267mm 1st Class Post 1953 BR Hawksworth Coach Model,Hornby,£39.10,2 new,1,6,5.0,
bc421302f860983f7e90f30c3ee9fffd,Model Power US Army Railway Gun Gauge H0,Model Power,£14.95,2 new,2,6,5.0,
c1976e03a3a8f7acca6b75e0668a9ea7,Gaugemaster Twin Track Cased Controller,Gaugemaster,£94.88,2 new,3,6,4.7,
306c1134a160c445a7024b1e75da0560,Hornby R1153 London 2012 00 Gauge Electric Train Set,Hornby,,1 new,8,6,4.3,
2c75d86e52018a1e283ff53bb0fe8377,Micki Leksaker Train Set with Animals,Micki Leksaker,£20.16,9 new,2,6,5.0,
60eb065991166e02c88c4929a413e25f,Lelin Wooden Train Track Railway Station Playset Childrens Kids Pretend Play,LELIN,£17.99,,1,6,5.0,
2c485752ffb7f0f49de7902282539937,Hornby 00 Gauge 239mm Cheltenham Steam Locomotive Train Model,Hornby,,1 new,1,6,5.0,
9c1780d4c600ed297f391cfd1414c715,Peco ST-235 Setrack 4th Radius Standard Curve,Peco,£4.86,4 new,1,6,5.0,
074832fae76089a3e349ba1ec7d6aa6a,Hornby '00' Gauge R3274 RailRoad BR 2-10-0 Franco Crosti Boiler 9F Class Locomotive,Hornby,£119.99,2 new,2,6,4.0,
afe95dccc9f8850cda65e77a9b36c3e5,Kato 23-226 Yard Buildings Kit,Kato,£12.31,34 new,1,6,5.0,
94cefaf02ef2fa71c42ea6ce94217b1d,Hornby Gauge Weathered Steam Locomotive,Hornby,,5 new,1,6,4.0,
ee97486bba0d9457a51db1924fe0163c,Roco 44002 RC44002 HO DB 8 WAGON SET III,Roco,,1 new,1,6,5.0,
59b20e9ba78b1603a09513020b3ef9d6,Hornby 00 Gauge National Mercantile Bank Model,Hornby,£39.99,,1,6,5.0,
e124ffa7345b54cf6cbc08530dfe8fbd,Camping Site,Busch,£8.50,4 new,2,6,5.0,
b158c4841db6e585d7dc9c3bab93f41a,2-Car Set N gauge 10-1232 KUHA 103 ATC Yamanote Line car preparation (Japan import / The package and the manual are written in Japanese),Kato,£18.50,26 new,2,6,4.5,
