Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AddressChange_Claim,NumberOfCars,BasePolicy,VehiclePrice,PastNumberOfClaims,FraudFound_P
Mar,2,Wednesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Single,42,Policy Holder,Sedan,33,2,400,3,7 years,36 to 40,No,No,no change,1,Collision,22186,9,0
Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,30,Third Party,Sedan,34,2,400,4,6 years,31 to 35,No,No,no change,1,Collision,20348,0,0
Jan,4,Tuesday,Ford,Urban,Wednesday,Jan,4,Male,Married,42,Policy Holder,Utility,35,12,400,1,7 years,36 to 40,No,No,no change,1,All Perils,90375,2,0
Oct,2,Wednesday,Chevrolet,Urban,Thursday,Oct,2,Male,Single,34,Third Party,Sport,36,5,400,3,7 years,31 to 35,No,No,no change,1,Liability,25468,4,0
Oct,2,Tuesday,Honda,Urban,Thursday,Oct,3,Male,Married,30,Third Party,Sedan,37,11,400,4,6 years,31 to 35,No,No,no change,1,Collision,21465,0,0
Sep,2,Friday,Mazda,Urban,Friday,Sep,3,Male,Single,27,Policy Holder,Sedan,38,4,400,2,7 years,31 to 35,No,No,no change,1,Collision,30289,0,0
Nov,4,Tuesday,Honda,Urban,Thursday,Nov,4,Male,Married,55,Policy Holder,Sport,39,12,400,1,more than 7,41 to 50,No,No,no change,1,Collision,69793,0,0
Nov,4,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Married,35,Policy Holder,Sedan,40,1,400,3,7 years,31 to 35,No,No,no change,1,Collision,22454,0,0
Mar,4,Wednesday,Chevrolet,Urban,Wednesday,Apr,1,Female,Married,35,Policy Holder,Sedan,41,11,400,1,6 years,31 to 35,No,No,no change,1,Collision,24469,3,0
Mar,3,Friday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,44,Policy Holder,Sedan,42,15,400,1,7 years,36 to 40,No,No,no change,4,All Perils,23760,3,0
Jul,1,Monday,Toyota,Urban,Monday,Jul,1,Female,Single,42,Policy Holder,Sport,43,12,400,4,4 years,36 to 40,No,No,4 to 8 years,2,Liability,27772,0,0
Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan,44,5,400,2,7 years,36 to 40,No,No,no change,1,Collision,28126,2,0
Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,4,Male,Married,72,Third Party,Sedan,45,16,400,1,more than 7,over 65,No,No,no change,1,Collision,24910,0,0
Feb,2,Wednesday,Pontiac,Urban,Thursday,Feb,2,Female,Married,29,Third Party,Sedan,46,8,400,3,5 years,31 to 35,No,No,no change,1,All Perils,12578,3,0
Feb,2,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Single,32,Third Party,Sedan,47,9,400,4,6 years,31 to 35,No,No,no change,1,Collision,34226,0,0
Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,37,Policy Holder,Sport,48,13,400,3,5 years,36 to 40,No,No,no change,1,Liability,30834,3,0
Apr,3,Thursday,Chevrolet,Urban,Thursday,May,1,Female,Married,37,Policy Holder,Sport,49,10,400,1,6 years,36 to 40,No,No,no change,1,Liability,86689,2,0
Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,59,Policy Holder,Sedan,50,9,400,4,more than 7,51 to 65,No,No,no change,1,Collision,22860,10,0
May,4,Friday,Pontiac,Urban,Friday,May,4,Male,Married,49,Policy Holder,Sport,51,14,400,2,more than 7,41 to 50,No,No,no change,1,Liability,31127,5,0
Jun,4,Wednesday,Pontiac,Urban,Friday,Jun,4,Male,Married,27,Policy Holder,Sport,52,4,500,3,6 years,31 to 35,No,No,2 to 3 years,1,Liability,23700,4,0
Jul,3,Sunday,Honda,Rural,Wednesday,Jan,4,Male,Married,21,Policy Holder,Sport,53,4,400,4,4 years,26 to 30,No,No,no change,1,Collision,82361,0,1
Jul,4,Saturday,Honda,Urban,Wednesday,Aug,2,Male,Married,50,Policy Holder,Sedan,54,13,400,1,more than 7,41 to 50,No,No,no change,1,Collision,29016,0,1
Jun,4,Tuesday,Pontiac,Urban,Tuesday,Jun,4,Male,Single,45,Policy Holder,Sedan,55,8,400,1,7 years,36 to 40,No,No,no change,1,Collision,35225,1,0
Dec,3,Monday,Mazda,Urban,Wednesday,Dec,3,Male,Married,49,Third Party,Sedan,56,7,400,4,more than 7,41 to 50,No,No,no change,1,All Perils,22559,0,0
Jun,4,Friday,Honda,Urban,Thursday,Jun,5,Male,Single,30,Policy Holder,Sedan,57,5,400,4,6 years,31 to 35,No,No,no change,1,All Perils,23423,4,0
Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Single,37,Policy Holder,Sedan,58,11,400,3,7 years,36 to 40,No,No,no change,1,Collision,71300,3,0
May,1,Monday,Honda,Rural,Wednesday,May,4,Male,Single,0,Policy Holder,Sport,59,15,400,4,new,16 to 17,No,No,no change,1,Liability,82501,0,0
May,1,Wednesday,Chevrolet,Urban,Monday,May,2,Female,Single,27,Policy Holder,Sedan,60,4,400,4,6 years,31 to 35,No,No,no change,1,Collision,27660,0,0
Nov,1,Monday,Toyota,Urban,Monday,Nov,3,Male,Single,30,Policy Holder,Sedan,61,5,400,4,5 years,31 to 35,No,No,no change,1,All Perils,30031,0,0
Sep,2,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,49,Policy Holder,Utility,62,6,400,4,more than 7,41 to 50,No,No,no change,1,Collision,FALSE,0,0
Nov,4,Sunday,Honda,Urban,Friday,Jan,3,Male,Single,0,Third Party,Sedan,63,3,400,2,new,16 to 17,No,No,no change,1,All Perils,84632,4,0
Feb,5,Monday,Toyota,Urban,Tuesday,Mar,1,Male,Married,26,Policy Holder,Sport,64,13,400,3,7 years,31 to 35,No,No,4 to 8 years,2,Liability,20315,4,0
Dec,1,Friday,Pontiac,Urban,Tuesday,Dec,2,Male,Single,48,Policy Holder,Sedan,65,1,400,1,7 years,41 to 50,No,No,no change,1,Collision,21834,0,0
Dec,4,Friday,Mazda,Urban,Monday,Jan,2,Male,Single,31,Policy Holder,Sedan,66,6,400,3,7 years,31 to 35,No,No,no change,1,All Perils,29337,0,0
Mar,3,Friday,Mercury,Urban,Friday,Mar,3,Male,Single,40,Third Party,Sedan,67,16,400,2,7 years,36 to 40,No,No,no change,1,Collision,71866,1,0
Aug,4,Thursday,Mazda,Urban,Monday,Aug,5,Male,Married,65,Policy Holder,Sport,68,12,400,1,more than 7,51 to 65,No,No,no change,1,Liability,36445,4,0
Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,64,Policy Holder,Sedan,69,5,400,1,more than 7,51 to 65,No,No,no change,1,Collision,22025,1,0
Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Married,55,Policy Holder,Sport,70,12,400,2,7 years,41 to 50,No,No,no change,1,Liability,24443,4,0
Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Single,44,Policy Holder,Sedan,71,16,400,1,7 years,36 to 40,No,No,no change,1,Collision,27598,4,0
Jan,1,Tuesday,Mazda,Urban,Thursday,Jan,1,Male,Married,27,Policy Holder,Sedan,72,9,400,3,6 years,31 to 35,No,No,no change,1,Collision,21829,1,0
Sep,4,Thursday,Chevrolet,Urban,Monday,Jan,5,Female,Single,28,Third Party,Sedan,73,5,400,3,5 years,31 to 35,No,No,no change,1,Collision,25082,1,0
Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Male,Married,47,Third Party,Sedan,74,7,400,2,more than 7,41 to 50,No,No,no change,1,Collision,29800,1,0
Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,60,Third Party,Sedan,75,12,400,3,7 years,51 to 65,No,No,no change,1,Collision,75918,5,0
Aug,1,Saturday,Ford,Urban,Wednesday,Aug,4,Male,Married,33,Third Party,Sedan,76,9,400,4,6 years,31 to 35,No,No,no change,1,Collision,35644,10,0
Oct,4,Tuesday,Chevrolet,Urban,Monday,Jan,1,Male,Married,27,Third Party,Sedan,77,1,400,3,6 years,31 to 35,No,No,no change,1,All Perils,23133,0,0
Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Female,Married,47,Third Party,Sport,78,12,400,3,more than 7,41 to 50,No,No,no change,1,Collision,87642,0,0
Feb,2,Friday,Jaguar,Rural,Tuesday,Feb,3,Female,Single,29,Policy Holder,Sport,79,16,400,1,5 years,31 to 35,No,No,no change,1,Liability,30698,3,0
Feb,4,Saturday,Toyota,Urban,Friday,Mar,1,Female,Married,33,Third Party,Sedan,80,10,400,1,7 years,31 to 35,No,No,no change,1,Collision,39074,3,0
Jan,3,Wednesday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,38,Policy Holder,Sport,81,13,400,4,6 years,36 to 40,No,No,no change,1,Liability,29108,4,0
Jan,3,Thursday,Mazda,Urban,Friday,Jan,4,Male,Single,37,Third Party,Sport,82,6,400,2,7 years,36 to 40,No,No,no change,1,Liability,22984,1,0
Dec,2,Friday,Chevrolet,Urban,Thursday,Apr,3,Male,Married,36,Third Party,Sedan,83,13,400,4,7 years,36 to 40,No,No,no change,3,All Perils,96675,0,0
Nov,5,Tuesday,Toyota,Urban,Friday,Feb,1,Female,Married,44,Policy Holder,Sport,84,9,400,4,6 years,36 to 40,No,No,no change,1,Liability,28489,0,0
Dec,1,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sport,85,6,400,2,new,16 to 17,No,No,4 to 8 years,2,Liability,87537,6,0
Dec,2,Tuesday,Chevrolet,Rural,Tuesday,Mar,1,Male,Married,27,Policy Holder,Utility,86,4,400,4,6 years,31 to 35,No,No,no change,1,Liability,75274,1,0
May,4,Tuesday,Toyota,Urban,Wednesday,May,4,Male,Single,27,Policy Holder,Sedan,87,14,400,3,6 years,31 to 35,No,No,no change,1,Collision,22581,1,0
May,4,Sunday,Mazda,Urban,Wednesday,May,4,Male,Single,39,Third Party,Sedan,88,1,400,2,4 years,36 to 40,No,No,no change,1,All Perils,23443,3,0
Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Male,Married,74,Third Party,Sedan,89,13,400,4,7 years,over 65,No,No,no change,1,All Perils,33480,0,0
Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Single,23,Policy Holder,Sport,90,8,400,2,4 years,26 to 30,No,No,no change,1,Liability,22039,3,0
Oct,4,Sunday,Honda,Urban,Tuesday,Oct,4,Female,Single,25,Third Party,Sport,91,2,400,1,6 years,26 to 30,No,No,no change,1,Collision,76869,0,0
Jan,2,Wednesday,Pontiac,Urban,Wednesday,Jan,2,Male,Single,38,Policy Holder,Sport,92,13,400,2,7 years,36 to 40,No,No,1 year,1,Liability,20079,6,0
Jan,2,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan,93,16,400,1,7 years,36 to 40,No,No,no change,1,All Perils,39417,4,0
Aug,4,Saturday,Pontiac,Urban,Monday,Aug,5,Male,Married,38,Policy Holder,Sedan,94,13,700,3,7 years,36 to 40,No,No,no change,1,Collision,29101,2,0
Nov,2,Thursday,Honda,Urban,Friday,Jan,3,Male,Single,34,Policy Holder,Sport,95,7,400,3,7 years,31 to 35,No,No,no change,1,Collision,96916,0,1
May,2,Tuesday,Honda,Urban,Thursday,May,2,Male,Married,61,Third Party,Sedan,96,15,400,4,more than 7,51 to 65,No,No,no change,1,Collision,35455,0,0
Nov,2,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,38,Policy Holder,Sedan,97,7,400,2,7 years,36 to 40,No,No,no change,1,Collision,29039,1,1
Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Male,Single,40,Policy Holder,Sedan,98,4,400,4,7 years,36 to 40,No,No,no change,1,All Perils,7754,1,0
Nov,3,Monday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,41,Third Party,Sedan,99,12,400,4,7 years,36 to 40,No,No,no change,1,All Perils,23344,3,0
Jan,4,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,36,Policy Holder,Sedan,100,10,400,1,7 years,36 to 40,No,No,no change,1,All Perils,24185,1,0
Nov,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married,31,Policy Holder,Utility,101,2,400,1,7 years,31 to 35,No,No,no change,1,All Perils,83906,6,1
Jan,5,Saturday,Pontiac,Urban,Monday,Jan,5,Female,Married,35,Third Party,Sedan,102,10,400,4,6 years,31 to 35,No,No,no change,1,All Perils,27095,1,0
Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37,Policy Holder,Sedan,103,14,500,2,6 years,36 to 40,Yes,No,no change,1,All Perils,79502,4,0
Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married,55,Policy Holder,Sedan,104,14,400,3,more than 7,41 to 50,No,No,no change,1,All Perils,25404,0,0
Jan,1,Tuesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,31,Third Party,Sedan,105,12,400,4,7 years,31 to 35,No,No,no change,1,All Perils,25745,2,0
Dec,3,Friday,Dodge,Urban,Saturday,Dec,3,Male,Married,28,Policy Holder,Sport,106,5,400,1,7 years,31 to 35,No,No,4 to 8 years,2,Liability,82849,0,0
Aug,1,Monday,Mazda,Urban,Thursday,Aug,1,Male,Married,28,Policy Holder,Sedan,107,11,400,2,7 years,31 to 35,No,No,no change,1,Collision,22166,2,0
Nov,4,Sunday,Pontiac,Urban,Thursday,Apr,2,Male,Married,44,Third Party,Sedan,108,11,400,1,7 years,36 to 40,No,No,no change,1,All Perils,24392,0,0
Jun,1,Thursday,Chevrolet,Urban,Thursday,Oct,4,Male,Married,47,Policy Holder,Sedan,109,1,400,1,more than 7,41 to 50,No,No,no change,1,All Perils,22411,1,0
Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sport,110,16,400,4,6 years,36 to 40,No,No,no change,1,Liability,29423,0,0
May,2,Tuesday,Toyota,Urban,Friday,Sep,1,Male,Single,23,Policy Holder,Sedan,111,4,400,2,5 years,26 to 30,No,No,no change,1,Collision,24206,4,0
May,2,Monday,Pontiac,Urban,Thursday,May,2,Male,Single,31,Policy Holder,Sedan,112,6,400,3,6 years,31 to 35,No,No,no change,1,All Perils,20029,4,0
Nov,4,Thursday,Honda,Urban,Thursday,Dec,5,Male,Married,35,Third Party,Sedan,113,9,400,1,6 years,31 to 35,No,No,no change,1,All Perils,21923,0,0
Nov,4,Thursday,Accura,Rural,Tuesday,Jan,2,Male,Married,56,Policy Holder,Utility,114,10,400,2,more than 7,51 to 65,No,No,no change,1,All Perils,97341,0,1
Dec,4,Monday,Chevrolet,Urban,Wednesday,Jan,1,Male,Married,50,Third Party,Sedan,115,2,400,3,more than 7,41 to 50,No,No,no change,1,Collision,23272,1,0
Dec,2,Tuesday,Honda,Urban,Wednesday,Jan,2,Male,Single,16,Third Party,Sport,116,2,400,1,4 years,18 to 20,No,No,no change,1,Collision,87574,3,0
Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,32,Third Party,Sedan,117,12,400,2,7 years,31 to 35,No,Yes,no change,1,Collision,32374,1,0
Aug,2,Monday,Pontiac,Urban,Tuesday,Aug,5,Male,Single,28,Policy Holder,Sport,118,4,400,3,6 years,31 to 35,No,No,no change,1,Liability,28011,4,0
Nov,5,Monday,Mazda,Urban,Wednesday,Dec,1,Male,Single,68,Policy Holder,Sedan,119,9,400,3,5 years,over 65,No,No,no change,1,All Perils,24780,3,1
Dec,1,Friday,Honda,Rural,Friday,Dec,3,Male,Single,0,Policy Holder,Sedan,120,7,400,3,new,16 to 17,No,No,no change,1,All Perils,78315,0,1
Feb,1,Friday,Honda,Rural,Friday,Mar,3,Male,Single,0,Policy Holder,Sedan,121,8,400,3,new,16 to 17,No,No,no change,1,All Perils,96610,0,0
Oct,2,Wednesday,Honda,Rural,Monday,Oct,3,Female,Married,18,Third Party,Sport,122,12,400,4,2 years,21 to 25,No,No,no change,1,Collision,74368,0,0
Jun,3,Monday,Pontiac,Urban,Monday,Jun,3,Male,Single,30,Policy Holder,Sedan,123,2,400,1,6 years,31 to 35,No,No,no change,1,Collision,69863,9,0
Apr,4,Tuesday,Honda,Urban,Tuesday,Apr,4,Male,Married,51,Policy Holder,Sedan,124,1,400,4,more than 7,41 to 50,No,No,no change,3,Collision,27501,6,0
Feb,2,Sunday,Toyota,Urban,Monday,Feb,2,Male,Single,22,Third Party,Sedan,125,6,400,3,6 years,26 to 30,No,No,no change,1,All Perils,37690,0,0
Feb,2,Saturday,Pontiac,Urban,Monday,Feb,2,Female,Married,26,Policy Holder,Sport,126,16,400,4,7 years,31 to 35,No,No,no change,1,Liability,25525,3,0
Jan,4,Saturday,Dodge,Urban,Monday,Mar,1,Male,Married,53,Policy Holder,Sedan,127,15,400,2,more than 7,41 to 50,Yes,No,4 to 8 years,2,Collision,37782,0,0
Jan,4,Sunday,Mazda,Urban,Tuesday,Jan,5,Male,Married,38,Policy Holder,Sport,128,13,400,3,7 years,36 to 40,No,No,no change,1,Liability,31448,3,0
Jan,4,Sunday,Chevrolet,Rural,Monday,Jan,4,Male,Married,27,Third Party,Sport,129,9,400,3,6 years,31 to 35,No,Yes,no change,1,Liability,30353,5,0
Nov,4,Monday,Honda,Urban,Tuesday,Nov,4,Male,Single,29,Policy Holder,Sedan,130,14,400,3,7 years,31 to 35,No,No,no change,1,Collision,22459,3,0
Jul,2,Friday,Pontiac,Urban,Friday,Jul,2,Male,Single,32,Policy Holder,Sedan,131,10,400,1,5 years,31 to 35,No,No,no change,1,Collision,27689,6,0
Apr,4,Thursday,Honda,Urban,Friday,Apr,4,Male,Single,18,Third Party,Sedan,132,14,400,3,3 years,21 to 25,No,No,no change,1,Collision,25123,0,0
Oct,3,Thursday,Pontiac,Urban,Thursday,Oct,4,Male,Married,60,Third Party,Sedan,133,6,400,4,more than 7,51 to 65,No,No,no change,1,Collision,22647,2,0
Oct,3,Friday,Ford,Urban,Friday,Oct,3,Male,Married,53,Policy Holder,Sedan,134,12,400,3,more than 7,41 to 50,No,No,no change,1,Collision,81202,0,0
Apr,1,Tuesday,Honda,Urban,Friday,Apr,2,Male,Single,29,Policy Holder,Sedan,135,16,400,4,6 years,31 to 35,No,No,no change,1,Collision,23294,1,0
Mar,2,Sunday,Pontiac,Urban,Monday,Mar,2,Male,Married,29,Policy Holder,Sedan,136,6,400,2,7 years,31 to 35,No,No,no change,1,Collision,27019,1,0
Mar,2,Monday,Toyota,Urban,Tuesday,Mar,4,Male,Married,41,Third Party,Sedan,137,9,400,4,7 years,36 to 40,No,No,no change,1,Collision,28509,1,0
Feb,4,Monday,Toyota,Urban,Wednesday,Mar,1,Male,Married,29,Policy Holder,Sedan,138,9,400,4,7 years,31 to 35,No,No,no change,1,All Perils,26453,0,0
Dec,4,Wednesday,Mercury,Urban,Thursday,Jan,1,Male,Married,42,Policy Holder,Sedan,139,2,400,2,7 years,36 to 40,No,No,no change,1,All Perils,29831,6,0
Oct,5,Friday,Toyota,Urban,Friday,Feb,1,Male,Married,34,Policy Holder,Sedan,140,9,400,2,7 years,31 to 35,No,No,no change,1,All Perils,8062,0,0
Jul,3,Monday,Honda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sport,141,11,400,4,more than 7,41 to 50,No,No,no change,1,Collision,97039,1,0
Jun,4,Monday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,32,Policy Holder,Sedan,142,3,400,4,6 years,31 to 35,No,No,no change,1,All Perils,21245,1,0
Feb,5,Monday,Chevrolet,Urban,Friday,Mar,1,Male,Married,52,Policy Holder,Sport,143,10,400,4,more than 7,41 to 50,No,No,no change,7,Liability,27777,0,0
Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,61,Policy Holder,Sedan,144,8,400,2,more than 7,51 to 65,No,No,no change,1,Collision,27053,3,0
Feb,3,Wednesday,Toyota,Rural,Friday,Feb,4,Male,Single,25,Third Party,Sport,145,1,400,4,5 years,26 to 30,No,No,no change,1,Liability,22939,3,0
Nov,1,Thursday,Mazda,Urban,Friday,Nov,1,Male,Married,41,Policy Holder,Sedan,146,6,400,1,7 years,36 to 40,No,No,no change,1,All Perils,32693,0,0
Sep,3,Saturday,Mazda,Urban,Tuesday,Sep,3,Male,Single,33,Third Party,Sport,147,10,400,1,6 years,31 to 35,No,No,no change,1,Liability,34773,0,0
Dec,1,Monday,Toyota,Rural,Tuesday,May,3,Male,Married,39,Policy Holder,Sedan,148,1,400,3,more than 7,36 to 40,No,No,under 6 months,2,All Perils,34472,0,1
Jun,1,Tuesday,Accura,Urban,Thursday,Jun,2,Male,Single,30,Policy Holder,Sedan,149,13,400,1,6 years,31 to 35,No,No,no change,1,Collision,35216,0,0
May,4,Monday,Mazda,Urban,Monday,May,4,Male,Widow,50,Policy Holder,Sedan,150,15,400,4,more than 7,41 to 50,No,No,no change,1,Collision,25841,0,0
Jan,2,Monday,Pontiac,Urban,Friday,Jan,2,Female,Married,31,Third Party,Sedan,151,8,400,1,7 years,31 to 35,No,No,no change,1,Collision,29805,3,0
Jan,2,Tuesday,Pontiac,Urban,Tuesday,Jan,2,Male,Single,23,Policy Holder,Sport,152,8,400,4,5 years,26 to 30,No,No,no change,1,Liability,36769,5,0
Jan,2,Tuesday,Pontiac,Urban,Friday,Jan,2,Male,Single,31,Third Party,Sport,153,10,400,3,7 years,31 to 35,No,No,no change,1,Liability,35083,1,0
