num_passengers,sales_channel,trip_type,booking_class,purchase_lead_time_days,length_of_stay,flight_hour,flight_day,departure_airport,arrival_airport,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration_hrs,booking_complete,ticket_price_$
1,Internet,RoundTrip,Economy,351,17,3,Sun,AKL,HGH,China,0,0,0,5.07,0,1682
2,Internet,CircleTrip,Economy,228,29,23,Wed,AKL,HND,New Zealand,1,0,0,7.57,0,415
1,Internet,RoundTrip,Economy,21,88,9,Wed,AKL,ICN,South Korea,1,0,1,6.62,0,330
2,Internet,RoundTrip,Admiral,23,19,8,Mon,AKL,ICN,New Zealand,1,0,1,6.62,0,4413
2,Internet,RoundTrip,Economy,25,27,13,Fri,AKL,ICN,South Korea,1,0,1,6.62,0,1668
1,Internet,RoundTrip,Economy,16,21,6,Thu,AKL,ICN,New Zealand,1,0,1,6.62,0,689
1,Internet,RoundTrip,Admiral,66,20,7,Thu,AKL,ICN,South Korea,1,0,0,6.62,0,4389
1,Internet,RoundTrip,Economy,51,28,6,Fri,AKL,ICN,South Korea,0,0,0,6.62,0,1907
2,Internet,RoundTrip,Business,37,24,7,Mon,AKL,ICN,New Zealand,1,0,0,6.62,0,3288
1,Internet,RoundTrip,Admiral,101,19,11,Tue,AKL,ICN,South Korea,1,0,1,6.62,0,4833
1,Internet,RoundTrip,Admiral,19,47,2,Tue,AKL,ICN,New Zealand,1,0,1,6.62,0,4559
1,Internet,RoundTrip,Business,16,35,23,Wed,AKL,ICN,New Zealand,1,1,0,6.62,0,3374
2,Internet,RoundTrip,Economy,7,82,4,Thu,AKL,ICN,South Korea,1,0,1,6.62,0,1048
1,Internet,RoundTrip,Business,5,27,0,Fri,AKL,ICN,New Zealand,0,0,1,6.62,0,2879
1,Internet,RoundTrip,Admiral,185,34,4,Mon,AKL,ICN,New Zealand,1,0,1,6.62,0,4751
1,Internet,RoundTrip,Admiral,21,22,7,Fri,AKL,ICN,New Zealand,1,1,0,6.62,0,4306
1,Internet,RoundTrip,Admiral,7,27,4,Wed,AKL,ICN,New Zealand,0,0,1,6.62,0,4703
1,Internet,RoundTrip,Business,33,22,14,Sat,AKL,ICN,South Korea,1,0,0,6.62,0,2159
6,Internet,RoundTrip,Admiral,20,22,3,Fri,AKL,ICN,South Korea,1,1,1,6.62,0,4918
2,Internet,RoundTrip,Admiral,56,21,7,Thu,AKL,ICN,New Zealand,1,0,0,6.62,0,3618
1,Internet,RoundTrip,Admiral,3,33,1,Mon,AKL,ICN,South Korea,1,0,1,6.62,0,4457
1,Internet,RoundTrip,Economy,13,26,7,Mon,AKL,ICN,South Korea,1,0,0,6.62,0,1984
1,Internet,RoundTrip,Business,71,90,7,Thu,AKL,ICN,South Korea,1,1,1,6.62,0,3360
2,Internet,RoundTrip,Admiral,346,23,8,Mon,AKL,ICN,South Korea,1,0,1,6.62,0,4093
1,Internet,RoundTrip,Economy,9,84,7,Wed,AKL,ICN,New Zealand,1,0,0,6.62,0,1717
1,Internet,RoundTrip,Business,65,22,14,Thu,AKL,ICN,South Korea,1,0,0,6.62,0,2264
1,Mobile,RoundTrip,Admiral,221,61,2,Sun,AKL,ICN,New Zealand,0,0,0,6.62,0,4513
1,Internet,RoundTrip,Admiral,65,18,14,Wed,AKL,ICN,South Korea,0,0,1,6.62,0,4379
2,Internet,RoundTrip,Economy,7,40,7,Wed,AKL,ICN,South Korea,1,0,1,6.62,0,1095
1,Internet,RoundTrip,Business,107,24,14,Fri,AKL,ICN,South Korea,0,1,0,6.62,0,2941
1,Internet,RoundTrip,Economy,14,27,10,Wed,AKL,ICN,New Zealand,0,0,0,6.62,0,1281
1,Internet,RoundTrip,Business,77,96,9,Tue,AKL,ICN,New Zealand,1,0,1,6.62,0,2734
1,Internet,RoundTrip,Economy,65,17,9,Wed,AKL,ICN,New Zealand,1,0,0,6.62,0,1717
1,Internet,RoundTrip,Economy,24,25,8,Thu,AKL,ICN,South Korea,1,0,1,6.62,0,1396
1,Internet,RoundTrip,Admiral,47,69,2,Wed,AKL,ICN,South Korea,1,1,1,6.62,0,4190
1,Internet,RoundTrip,Economy,22,89,14,Tue,AKL,ICN,South Korea,1,0,1,6.62,0,407
2,Internet,RoundTrip,Admiral,11,25,4,Thu,AKL,ICN,South Korea,1,0,1,6.62,0,4323
1,Internet,RoundTrip,Economy,35,25,6,Tue,AKL,ICN,South Korea,0,0,1,6.62,0,1752
1,Internet,RoundTrip,Admiral,272,21,14,Tue,AKL,ICN,New Zealand,1,0,0,6.62,0,4820
1,Internet,RoundTrip,Economy,20,18,10,Mon,AKL,ICN,New Zealand,0,0,0,6.62,0,980
1,Internet,RoundTrip,Admiral,250,23,9,Sun,AKL,ICN,South Korea,1,0,1,6.62,0,3976
1,Internet,RoundTrip,Admiral,161,58,2,Sat,AKL,ICN,South Korea,1,0,1,6.62,0,4331
4,Internet,RoundTrip,Business,128,21,9,Mon,AKL,ICN,New Zealand,1,1,0,6.62,0,3206
1,Internet,RoundTrip,Admiral,190,27,14,Sun,AKL,ICN,South Korea,1,0,1,6.62,0,3705
4,Internet,RoundTrip,Economy,311,27,6,Sat,AKL,ICN,New Zealand,0,1,0,6.62,0,1906
1,Internet,RoundTrip,Admiral,27,56,7,Fri,AKL,ICN,South Korea,1,0,1,6.62,0,3935
2,Internet,RoundTrip,Economy,314,43,10,Sun,AKL,ICN,New Zealand,0,0,0,6.62,0,394
1,Internet,RoundTrip,Economy,25,29,11,Wed,AKL,ICN,South Korea,1,0,1,6.62,0,1384
1,Internet,RoundTrip,Economy,102,110,6,Tue,AKL,ICN,South Korea,1,0,0,6.62,0,569
3,Mobile,CircleTrip,Business,154,45,9,Wed,AKL,ICN,Canada,1,1,1,5.52,0,2075
1,Internet,RoundTrip,Admiral,24,19,8,Mon,AKL,ICN,South Korea,1,0,1,6.62,0,4362
1,Internet,RoundTrip,Admiral,2,165,3,Mon,AKL,KIX,Japan,1,0,0,7,0,4042
1,Internet,RoundTrip,Economy,26,111,13,Mon,AKL,KIX,Japan,1,0,1,7,0,1945
1,Internet,RoundTrip,Admiral,32,34,23,Sun,AKL,KIX,New Zealand,0,0,0,7,0,4989
2,Internet,RoundTrip,Business,57,38,5,Sun,AKL,KIX,New Zealand,1,0,0,7,0,2373
1,Internet,RoundTrip,Admiral,198,207,10,Sun,AKL,KIX,Japan,1,0,1,7,0,4383
1,Internet,RoundTrip,Admiral,23,27,11,Sat,AKL,KIX,Japan,0,0,0,7,0,3887
1,Internet,RoundTrip,Admiral,33,20,6,Fri,AKL,KTM,New Zealand,1,0,0,4.75,0,4774
2,Internet,RoundTrip,Economy,120,91,3,Mon,AKL,KTM,New Zealand,1,0,1,4.75,0,1056
2,Internet,RoundTrip,Economy,69,34,4,Thu,AKL,KTM,New Zealand,1,0,0,4.75,0,1908
1,Mobile,CircleTrip,Admiral,281,18,3,Wed,AKL,KTM,New Zealand,1,0,0,4.75,0,4790
1,Internet,CircleTrip,Admiral,282,18,19,Tue,AKL,KTM,New Zealand,1,0,0,4.75,0,4277
1,Internet,RoundTrip,Economy,69,21,3,Wed,AKL,KTM,New Zealand,1,0,0,4.75,0,1161
1,Internet,OneWay,Admiral,67,1,10,Tue,AKL,KTM,New Zealand,1,0,0,4.75,0,4052
1,Internet,RoundTrip,Economy,15,31,17,Mon,AKL,KUL,Malaysia,0,0,0,8.83,1,683
1,Internet,RoundTrip,Economy,31,274,10,Tue,AKL,KUL,Malaysia,1,0,0,8.83,0,747
1,Internet,RoundTrip,Business,316,35,16,Tue,AKL,KUL,Malaysia,1,0,0,8.83,0,2543
2,Internet,RoundTrip,Economy,232,17,3,Tue,AKL,KUL,Malaysia,1,1,1,8.83,0,1665
1,Internet,RoundTrip,Business,156,19,14,Mon,AKL,KUL,Malaysia,1,0,0,8.83,1,3464
1,Internet,RoundTrip,Economy,196,44,23,Tue,AKL,KUL,New Zealand,1,0,0,8.83,0,687
1,Internet,RoundTrip,Admiral,283,38,9,Mon,AKL,KUL,New Zealand,1,0,0,8.83,0,3535
1,Internet,RoundTrip,Economy,34,24,5,Fri,AKL,KUL,New Zealand,1,0,0,8.83,0,399
1,Mobile,RoundTrip,Admiral,63,57,8,Mon,AKL,KUL,New Zealand,0,0,0,8.83,0,3613
1,Internet,RoundTrip,Business,5,18,4,Tue,AKL,KUL,New Zealand,0,0,0,8.83,0,2700
1,Internet,RoundTrip,Business,6,106,19,Tue,AKL,KUL,Malaysia,0,0,0,8.83,0,2195
1,Internet,RoundTrip,Economy,227,68,2,Fri,AKL,KUL,Malaysia,1,1,0,8.83,0,1021
1,Internet,RoundTrip,Admiral,181,87,2,Tue,AKL,KUL,Singapore,1,0,1,8.83,1,3927
1,Internet,RoundTrip,Business,8,33,3,Tue,AKL,KUL,New Zealand,0,0,0,8.83,0,2761
2,Internet,RoundTrip,Business,138,35,19,Fri,AKL,KUL,Switzerland,1,0,1,8.83,0,2668
1,Internet,RoundTrip,Economy,134,37,20,Wed,AKL,KUL,New Zealand,0,1,0,8.83,0,277
2,Internet,RoundTrip,Admiral,8,29,18,Thu,AKL,KUL,New Zealand,1,0,0,8.83,0,4120
1,Internet,RoundTrip,Admiral,23,51,13,Fri,AKL,KUL,New Zealand,1,0,1,8.83,0,4635
1,Mobile,RoundTrip,Economy,57,21,1,Sun,AKL,KUL,Malaysia,1,1,1,8.83,0,1085
2,Internet,RoundTrip,Economy,85,19,0,Mon,AKL,KUL,New Zealand,1,1,0,8.83,0,1449
1,Internet,RoundTrip,Admiral,65,31,23,Sun,AKL,KUL,New Zealand,0,0,0,8.83,0,4630
1,Internet,OneWay,Business,27,1,13,Tue,AKL,KUL,New Zealand,1,1,0,8.83,0,2161
1,Internet,RoundTrip,Business,93,196,8,Tue,AKL,KUL,Germany,1,0,0,8.83,0,2235
1,Mobile,RoundTrip,Economy,16,77,8,Mon,AKL,KUL,New Zealand,0,0,1,8.83,0,1901
2,Internet,RoundTrip,Admiral,118,17,8,Tue,AKL,KUL,New Zealand,1,0,1,8.83,0,4293
2,Internet,RoundTrip,Economy,90,20,7,Thu,AKL,KUL,Malaysia,0,0,1,8.83,0,466
1,Internet,RoundTrip,Admiral,168,41,23,Mon,AKL,KUL,New Zealand,1,0,1,8.83,0,3646
1,Mobile,RoundTrip,Economy,127,17,16,Tue,AKL,KUL,Malaysia,1,0,1,8.83,1,1156
2,Mobile,RoundTrip,Business,18,17,6,Mon,AKL,KUL,New Zealand,1,1,1,8.83,0,2460
1,Internet,RoundTrip,Admiral,153,30,10,Tue,AKL,KUL,New Zealand,1,1,0,8.83,0,3729
1,Internet,RoundTrip,Business,51,21,9,Sat,AKL,KUL,Malaysia,1,0,1,8.83,0,2320
2,Internet,RoundTrip,Economy,186,27,2,Tue,AKL,KUL,New Zealand,1,1,1,8.83,0,786
1,Internet,RoundTrip,Business,5,87,5,Tue,AKL,KUL,Malaysia,1,0,0,8.83,0,2936
1,Internet,RoundTrip,Admiral,65,278,2,Thu,AKL,KUL,Malaysia,0,0,0,8.83,0,4579
1,Internet,RoundTrip,Business,2,18,6,Thu,AKL,KUL,New Zealand,1,1,0,8.83,0,2799
1,Internet,RoundTrip,Business,263,58,4,Sun,AKL,KUL,Malaysia,0,1,0,8.83,0,2161
6,Internet,RoundTrip,Economy,172,28,0,Sat,AKL,KUL,New Zealand,0,0,1,8.83,0,869
1,Internet,RoundTrip,Admiral,161,108,2,Thu,AKL,KUL,New Zealand,1,1,0,8.83,0,4130
4,Internet,RoundTrip,Economy,230,29,17,Mon,AKL,KUL,Malaysia,1,0,1,8.83,0,1303
1,Internet,RoundTrip,Admiral,7,21,0,Mon,AKL,KUL,Indonesia,0,0,0,8.83,0,4431
1,Internet,RoundTrip,Business,42,17,14,Tue,AKL,KUL,Malaysia,0,0,0,8.83,1,2756
1,Internet,RoundTrip,Economy,71,29,10,Fri,AKL,KUL,New Zealand,1,0,0,8.83,0,1249
1,Internet,RoundTrip,Business,22,180,13,Thu,AKL,KUL,Malaysia,1,0,0,8.83,1,2993
1,Internet,RoundTrip,Business,81,21,4,Fri,AKL,KUL,New Zealand,1,0,0,8.83,0,2945
2,Internet,RoundTrip,Business,140,18,7,Sun,AKL,KUL,China,1,0,0,8.83,0,2498
1,Mobile,RoundTrip,Economy,42,72,14,Sat,AKL,KUL,New Zealand,0,0,1,8.83,0,1647
1,Internet,RoundTrip,Business,168,32,2,Tue,AKL,KUL,New Zealand,1,1,0,8.83,0,3014
1,Internet,RoundTrip,Business,285,30,12,Wed,AKL,KUL,Czech Republic,1,1,1,8.83,0,3236
2,Internet,RoundTrip,Economy,179,18,11,Thu,AKL,KUL,Malaysia,1,0,1,8.83,0,1745
2,Internet,RoundTrip,Economy,341,21,10,Sat,AKL,KUL,New Zealand,1,0,0,8.83,0,1304
2,Internet,RoundTrip,Economy,96,51,3,Thu,AKL,KUL,New Zealand,1,0,1,8.83,0,1860
4,Internet,RoundTrip,Admiral,173,17,1,Thu,AKL,KUL,New Zealand,1,0,1,8.83,0,4250
1,Internet,RoundTrip,Admiral,180,24,9,Wed,AKL,KUL,New Zealand,0,1,1,8.83,0,3709
4,Internet,RoundTrip,Economy,366,17,16,Sun,AKL,KUL,Malaysia,1,0,1,8.83,0,354
3,Internet,RoundTrip,Business,229,17,13,Mon,AKL,KUL,Malaysia,1,1,1,8.83,1,2031
2,Internet,RoundTrip,Economy,174,61,11,Tue,AKL,KUL,Malaysia,1,0,1,8.83,0,1249
2,Internet,RoundTrip,Economy,82,25,18,Fri,AKL,KUL,Czech Republic,1,0,0,8.83,0,1639
1,Internet,RoundTrip,Economy,75,62,6,Mon,AKL,KUL,Malaysia,0,0,0,8.83,0,260
2,Internet,RoundTrip,Economy,163,21,10,Mon,AKL,KUL,New Zealand,1,0,0,8.83,0,1591
1,Internet,RoundTrip,Business,105,21,8,Fri,AKL,KUL,New Zealand,1,0,0,8.83,0,2511
2,Internet,RoundTrip,Admiral,276,45,6,Mon,AKL,KUL,New Zealand,1,0,1,8.83,0,3933
1,Internet,RoundTrip,Economy,35,31,3,Thu,AKL,KUL,New Zealand,1,0,0,8.83,0,1661
1,Internet,RoundTrip,Admiral,110,26,23,Wed,AKL,KUL,New Zealand,1,0,0,8.83,0,3701
1,Internet,RoundTrip,Business,83,44,3,Sat,AKL,KUL,Malaysia,1,0,0,8.83,0,3474
1,Mobile,RoundTrip,Business,154,25,22,Mon,AKL,KUL,Malaysia,1,0,0,8.83,0,2495
1,Internet,RoundTrip,Business,118,19,1,Tue,AKL,KUL,New Zealand,1,0,1,8.83,0,2703
1,Internet,RoundTrip,Business,55,20,22,Wed,AKL,KUL,New Zealand,0,0,0,8.83,0,2034
1,Mobile,RoundTrip,Economy,45,35,1,Sat,AKL,KUL,New Zealand,0,0,0,8.83,0,403
1,Internet,RoundTrip,Economy,54,23,4,Sun,AKL,KUL,New Zealand,0,0,1,8.83,0,418
1,Internet,RoundTrip,Economy,193,19,13,Tue,AKL,KUL,Malaysia,0,0,0,8.83,0,1415
1,Internet,RoundTrip,Admiral,10,91,23,Tue,AKL,KUL,Singapore,1,0,0,8.83,1,3901
1,Internet,RoundTrip,Economy,166,18,20,Wed,AKL,KUL,New Zealand,1,0,1,8.83,0,1181
1,Internet,RoundTrip,Admiral,97,25,9,Sun,AKL,KUL,Malaysia,1,0,0,8.83,0,3540
5,Internet,RoundTrip,Admiral,239,17,12,Thu,AKL,KUL,Malaysia,1,0,1,8.83,0,4417
2,Internet,RoundTrip,Admiral,97,50,8,Sat,AKL,KUL,New Zealand,1,1,1,8.83,0,4524
1,Internet,RoundTrip,Business,182,28,10,Sun,AKL,KUL,Vietnam,0,0,1,8.83,0,2393
1,Internet,RoundTrip,Business,99,21,13,Sun,AKL,KUL,Singapore,0,0,0,8.83,1,3381
1,Internet,RoundTrip,Business,23,59,9,Tue,AKL,KUL,New Zealand,1,0,1,8.83,0,2051
1,Mobile,RoundTrip,Economy,53,18,9,Mon,AKL,KUL,Malaysia,1,1,0,8.83,0,463
1,Internet,RoundTrip,Business,28,125,12,Sat,AKL,KUL,Malaysia,0,0,0,8.83,0,3295
1,Internet,RoundTrip,Admiral,384,18,5,Thu,AKL,KUL,Malaysia,0,0,0,8.83,0,4124
2,Internet,RoundTrip,Business,22,27,23,Fri,AKL,KUL,New Zealand,1,0,1,8.83,0,2029
1,Internet,RoundTrip,Admiral,70,106,3,Thu,AKL,KUL,Malaysia,1,0,1,8.83,0,4728
1,Internet,RoundTrip,Economy,126,28,20,Sun,AKL,KUL,Germany,1,0,0,8.83,0,892
1,Internet,RoundTrip,Business,8,45,8,Tue,AKL,KUL,Malaysia,0,0,0,8.83,0,2459
2,Internet,RoundTrip,Business,51,29,11,Sun,AKL,KUL,New Zealand,1,0,1,8.83,0,2487
1,Internet,RoundTrip,Business,142,124,9,Wed,AKL,KUL,Malaysia,1,0,0,8.83,1,2708
1,Internet,RoundTrip,Business,87,33,9,Sat,AKL,KUL,Thailand,1,0,0,8.83,0,2441
5,Mobile,RoundTrip,Business,238,21,8,Fri,AKL,KUL,New Zealand,1,1,1,8.83,0,2511
2,Internet,RoundTrip,Economy,86,34,0,Sat,AKL,KUL,New Zealand,1,0,0,8.83,0,899
1,Mobile,RoundTrip,Economy,313,35,20,Sat,AKL,KUL,New Zealand,1,0,0,8.83,0,1805
2,Internet,RoundTrip,Economy,41,20,20,Sun,AKL,KUL,Spain,1,1,1,8.83,0,1159
1,Internet,RoundTrip,Economy,91,46,8,Wed,AKL,KUL,New Zealand,1,1,1,8.83,0,281
1,Mobile,RoundTrip,Business,41,21,12,Tue,AKL,KUL,Malaysia,1,0,0,8.83,0,2867
1,Internet,RoundTrip,Economy,82,33,10,Tue,AKL,KUL,New Zealand,1,0,0,8.83,0,1174
5,Internet,RoundTrip,Business,206,17,13,Sun,AKL,KUL,Malaysia,1,0,0,8.83,0,2031
4,Internet,RoundTrip,Business,6,55,5,Thu,AKL,KUL,New Zealand,1,1,0,8.83,0,2766
5,Internet,RoundTrip,Economy,197,18,10,Fri,AKL,KUL,Malaysia,1,0,1,8.83,0,557
1,Internet,RoundTrip,Economy,34,22,13,Tue,AKL,KUL,Malaysia,1,0,1,8.83,1,997
2,Internet,RoundTrip,Business,112,21,17,Tue,AKL,KUL,Malaysia,1,0,0,8.83,0,2991
2,Internet,RoundTrip,Admiral,268,47,1,Mon,AKL,KUL,New Zealand,1,0,1,8.83,0,3842
1,Internet,RoundTrip,Economy,157,26,15,Mon,AKL,KUL,Romania,1,0,1,8.83,0,1900
2,Internet,RoundTrip,Admiral,145,51,4,Wed,AKL,KUL,Malaysia,1,1,1,8.83,0,4191
4,Internet,RoundTrip,Admiral,241,24,9,Mon,AKL,KUL,New Zealand,0,0,0,8.83,0,3523
1,Internet,RoundTrip,Economy,172,17,9,Fri,AKL,KUL,Ireland,0,0,1,8.83,0,1275
1,Internet,RoundTrip,Business,99,19,7,Wed,AKL,KUL,Malaysia,0,0,0,8.83,0,2431
1,Mobile,RoundTrip,Admiral,139,22,8,Sun,AKL,KUL,New Zealand,1,0,1,8.83,0,4230
1,Internet,RoundTrip,Economy,59,35,13,Sun,AKL,KUL,Malaysia,0,1,0,8.83,1,1623
1,Internet,RoundTrip,Business,396,23,9,Mon,AKL,KUL,New Zealand,1,0,1,8.83,0,2757
2,Internet,RoundTrip,Economy,280,18,23,Tue,AKL,KUL,Malaysia,1,0,1,8.83,0,1558
1,Internet,RoundTrip,Business,79,23,10,Tue,AKL,KUL,Malaysia,0,0,0,8.83,0,2407
1,Internet,RoundTrip,Business,37,26,21,Wed,AKL,KUL,New Zealand,1,0,0,8.83,0,3096
2,Internet,RoundTrip,Business,69,19,17,Sat,AKL,KUL,Italy,1,0,0,8.83,0,2243
1,Internet,RoundTrip,Admiral,380,21,21,Thu,AKL,KUL,New Zealand,1,1,0,8.83,0,3584
5,Internet,RoundTrip,Business,206,17,13,Sun,AKL,KUL,Malaysia,1,0,0,8.83,0,2806
1,Internet,RoundTrip,Admiral,13,27,1,Wed,AKL,KUL,New Zealand,1,0,1,8.83,0,3503
1,Internet,RoundTrip,Economy,229,31,2,Fri,AKL,KUL,New Zealand,0,0,1,8.83,0,1373
1,Internet,RoundTrip,Admiral,132,20,9,Mon,AKL,KUL,Slovakia,1,0,0,8.83,0,4521
4,Internet,RoundTrip,Economy,121,18,6,Sun,AKL,KUL,Malaysia,1,1,1,8.83,0,1879
4,Internet,RoundTrip,Business,316,22,14,Thu,AKL,KUL,Malaysia,1,0,0,8.83,1,2260
5,Internet,RoundTrip,Business,67,35,2,Tue,AKL,KUL,Malaysia,1,1,1,8.83,1,2701
1,Internet,RoundTrip,Economy,419,21,16,Sun,AKL,KUL,Malaysia,1,0,0,8.83,0,493
2,Internet,RoundTrip,Business,18,46,2,Mon,AKL,KUL,Malaysia,0,0,0,8.83,0,3359
1,Internet,RoundTrip,Admiral,58,21,12,Wed,AKL,KUL,United Arab Emirates,1,0,1,8.83,0,4989
2,Internet,RoundTrip,Business,115,87,6,Wed,AKL,KUL,Tonga,0,0,0,8.83,0,2234
1,Internet,RoundTrip,Admiral,236,91,6,Fri,AKL,KUL,Malaysia,1,0,1,8.83,0,4326
1,Internet,RoundTrip,Business,225,25,6,Tue,AKL,KUL,Germany,1,1,0,8.83,1,2565
1,Internet,RoundTrip,Economy,116,56,15,Thu,AKL,KUL,Malaysia,1,0,0,8.83,0,525
1,Internet,RoundTrip,Admiral,34,90,7,Sat,AKL,KUL,Malaysia,1,1,0,8.83,0,4212
1,Internet,RoundTrip,Economy,191,60,11,Sun,AKL,KUL,Germany,1,0,1,8.83,0,1577
1,Internet,RoundTrip,Business,55,22,7,Sat,AKL,KUL,New Zealand,1,0,0,8.83,0,2981
1,Mobile,RoundTrip,Economy,53,180,2,Sat,AKL,KUL,New Zealand,1,0,0,8.83,0,340
1,Internet,RoundTrip,Business,13,17,3,Sun,AKL,KUL,New Zealand,0,0,0,8.83,0,2634
1,Internet,RoundTrip,Economy,275,36,4,Wed,AKL,KUL,New Zealand,1,1,0,8.83,0,1251
1,Internet,RoundTrip,Admiral,58,17,7,Sun,AKL,KUL,New Zealand,1,0,1,8.83,0,3813
2,Internet,RoundTrip,Admiral,45,25,1,Mon,AKL,KUL,New Zealand,0,0,0,8.83,0,4613
2,Internet,RoundTrip,Business,417,22,4,Sun,AKL,KUL,New Zealand,1,0,1,8.83,0,2638
2,Internet,RoundTrip,Admiral,159,21,8,Fri,AKL,KUL,New Zealand,1,0,0,8.83,0,4176
2,Internet,RoundTrip,Economy,173,40,8,Sun,AKL,KUL,New Zealand,0,0,0,8.83,0,479
2,Internet,RoundTrip,Business,92,65,13,Mon,AKL,KUL,Réunion,1,0,0,8.83,0,3352
1,Internet,RoundTrip,Business,106,208,4,Thu,AKL,KUL,Japan,1,0,0,8.83,0,3177
3,Internet,RoundTrip,Business,316,35,16,Tue,AKL,KUL,Malaysia,0,0,0,8.83,0,2643
2,Internet,RoundTrip,Economy,245,27,11,Mon,AKL,KUL,New Zealand,0,0,0,8.83,1,909
3,Internet,RoundTrip,Economy,218,21,8,Tue,AKL,KUL,New Zealand,0,0,0,8.83,0,1296
1,Internet,RoundTrip,Admiral,96,106,1,Sun,AKL,KUL,New Zealand,1,1,1,8.83,0,3526
1,Internet,RoundTrip,Economy,67,22,11,Mon,AKL,KUL,Malaysia,0,0,0,8.83,0,1918
1,Internet,RoundTrip,Business,145,204,16,Fri,AKL,KUL,Malaysia,1,1,1,8.83,0,2900
1,Internet,RoundTrip,Admiral,295,18,6,Mon,AKL,KUL,Malaysia,0,0,0,8.83,0,3848
1,Internet,RoundTrip,Admiral,57,51,3,Wed,AKL,KUL,New Zealand,1,0,1,8.83,0,4632
1,Mobile,RoundTrip,Business,12,20,8,Tue,AKL,KUL,New Zealand,1,0,0,8.83,0,2474
3,Internet,RoundTrip,Business,77,31,0,Thu,AKL,KUL,New Zealand,1,0,0,8.83,0,3443
2,Internet,RoundTrip,Admiral,7,83,16,Tue,AKL,KUL,Malaysia,1,0,1,8.83,0,3953
1,Mobile,RoundTrip,Business,305,18,3,Wed,AKL,KUL,New Zealand,0,0,0,8.83,0,2934
2,Internet,RoundTrip,Economy,235,18,22,Tue,AKL,KUL,Malaysia,1,0,1,8.83,1,1382
1,Internet,RoundTrip,Business,332,17,11,Sat,AKL,KUL,New Zealand,0,0,0,8.83,0,3231
1,Internet,RoundTrip,Economy,3,35,6,Tue,AKL,KUL,New Zealand,1,0,0,8.83,0,1083
2,Internet,RoundTrip,Economy,56,42,4,Thu,AKL,KUL,Malaysia,1,0,1,8.83,1,881
2,Internet,RoundTrip,Admiral,125,85,15,Thu,AKL,KUL,Malaysia,1,0,0,8.83,0,4899
1,Internet,RoundTrip,Business,86,21,2,Sat,AKL,KUL,Malaysia,1,0,0,8.83,0,3287
2,Internet,RoundTrip,Admiral,204,24,6,Mon,AKL,KUL,New Zealand,1,1,0,8.83,0,4681
1,Internet,RoundTrip,Economy,310,44,13,Tue,AKL,KUL,New Zealand,1,0,1,8.83,0,1159
1,Internet,RoundTrip,Business,115,20,7,Mon,AKL,KUL,New Zealand,1,0,0,8.83,0,3177
1,Internet,RoundTrip,Business,57,24,12,Thu,AKL,KUL,New Zealand,1,0,0,8.83,0,2810
