AppID,Name,Developer,Publisher,Genre,Categories,Owners,Positive_Reviews,Negative_Reviews,Price_USD,Initial_Price_USD,Discount_Percent,Peak_Concurrent_Players,Platforms,Release_Date,Required_Age,Avg_Rating_5,Playability_Index_10
240,Counter-Strike: Source,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Steam Achievements, Steam Cloud, Cross-Platform Multiplayer","10,000,000 .. 20,000,000",137721,5458,9.99,9.99,0,5058,"windows, mac, linux",11/1/2004,0,2.43,6.63
280,Half-Life: Source,Valve,Valve,Action,"Single-player, Remote Play Together","2,000,000 .. 5,000,000",8442,3274,9.99,9.99,0,45,"windows, mac, linux",6/1/2004,0,2.26,2.31
300,Day of Defeat: Source,Valve,Valve,Action,"Single-player, Remote Play Together","1,000,000 .. 2,000,000",16747,1603,9.99,9.99,0,540,"windows, mac, linux",7/12/2010,0,3.82,5.93
320,Half-Life 2: Deathmatch,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled, Includes Source SDK","10,000,000 .. 20,000,000",9946,1070,4.99,4.99,0,202,"windows, mac, linux",11/1/2004,0,3.97,9.82
340,Half-Life 2: Lost Coast,Valve,Valve,Action,"Single-player, Commentary available, Remote Play Together","20,000,000 .. 50,000,000",9569,1273,0,0,0,23,"windows, mac, linux",10/27/2005,0,4.36,8.82
360,Half-Life Deathmatch: Source,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled","5,000,000 .. 10,000,000",2489,850,9.99,9.99,0,6,"windows, mac, linux",5/1/2006,0,4.82,5.37
380,Half-Life 2: Episode One,Valve,Valve,Action,"Single-player, Captions available, Commentary available, Stats, Includes Source SDK, Partial Controller Support, Steam Achievements, Steam Cloud, Remote Play Together","2,000,000 .. 5,000,000",21355,964,7.99,7.99,0,138,"windows, mac, linux",6/1/2006,0,2.19,3.87
400,Portal,Valve,Valve,Action,"Single-player, Captions available, Commentary available, Includes Source SDK, Includes level editor, Partial Controller Support, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Remote Play Together","10,000,000 .. 20,000,000",111786,1752,9.99,9.99,0,580,"windows, mac, linux",10/10/2007,0,4.62,1.34
420,Half-Life 2: Episode Two,Valve,Valve,Action,"Single-player, Captions available, Commentary available, Stats, Includes Source SDK, Partial Controller Support, Steam Achievements, Steam Cloud, Remote Play Together","5,000,000 .. 10,000,000",29977,935,7.99,7.99,0,207,"windows, mac, linux",10/10/2007,0,4.22,4.54
440,Team Fortress 2,Valve,Valve,"Action, Free to Play","Multi-player, Valve Anti-Cheat enabled, Captions available, Commentary available, Stats, Includes level editor, Partial Controller Support, Steam Achievements, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet","50,000,000 .. 100,000,000",846407,57423,0,0,0,108900,"windows, mac, linux",10/10/2007,0,3.09,9.46
500,Left 4 Dead,Valve,Valve,Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Captions available, Commentary available, Stats, Includes Source SDK, Steam Achievements, Steam Cloud, Steam Leaderboards, Full controller support, Remote Play on TV, Remote Play Together","2,000,000 .. 5,000,000",41585,1667,9.99,9.99,0,533,"windows, mac",11/17/2008,0,4.82,0.78
550,Left 4 Dead 2,Valve,Valve,Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Captions available, Commentary available, Stats, Includes Source SDK, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Steam Workshop, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP","20,000,000 .. 50,000,000",643836,16828,9.99,9.99,0,19084,"windows, mac, linux",11/16/2009,17,3.79,2.07
570,Dota 2,Valve,Valve,"Action, Free to Play, Strategy","Multi-player, Valve Anti-Cheat enabled, Co-op, Steam Trading Cards, Steam Workshop, In-App Purchases, SteamVR Collectibles","200,000,000 .. 500,000,000",1534895,317916,0,0,0,852995,"windows, mac, linux",7/9/2013,0,3.84,8.98
620,Portal 2,Valve,Valve,"Action, Adventure","Multi-player, Single-player, Co-op, Captions available, Commentary available, Stats, Includes level editor, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Steam Workshop, Online Co-op, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Steam Workshop","10,000,000 .. 20,000,000",305671,3770,9.99,9.99,0,2466,"windows, mac, linux",4/18/2011,0,3.93,6.67
630,Alien Swarm,Valve,Valve,Action,"Multi-player, Single-player, Co-op, Captions available, Stats, Includes level editor, Steam Achievements, Steam Cloud, Remote Play Together","2,000,000 .. 5,000,000",19311,1046,0,0,0,67,windows,7/19/2010,0,3.02,4.7
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,"Action, Free to Play","Multi-player, Valve Anti-Cheat enabled, Stats, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV","50,000,000 .. 100,000,000",5943345,787093,0,0,0,874053,"windows, mac, linux",8/21/2012,0,4.12,1.27
1002,Rag Doll Kung Fu,Mark Healey,Mark Healey,Indie,"Multi-player, Single-player","20,000 .. 50,000",58,25,0.99,0.99,0,0,windows,10/12/2005,0,3.95,0.61
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,Action,"Multi-player, Valve Anti-Cheat enabled, Steam Achievements","500,000 .. 1,000,000",1963,298,4.99,4.99,0,13,"windows, mac, linux",3/14/2006,0,3.58,5.58
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Stats, Includes level editor, Steam Achievements, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop","2,000,000 .. 5,000,000",60670,3219,19.99,19.99,0,285,"windows, mac, linux",5/14/2009,0,4.64,1.11
1309,SiN Episodes: Emergence,Ritual Entertainment,Ritual Entertainment,Action,"Single-player, Stats","200,000 .. 500,000",322,45,9.99,9.99,0,0,windows,5/10/2006,0,3.85,9.9
1313,SiN: Gold,"Ritual Entertainment, Nightdive Studios",Nightdive Studios,Action,"Multi-player, Single-player, Online PvP, LAN PvP, PvP","100,000 .. 200,000",242,40,9.99,9.99,0,2,windows,3/18/2020,0,3.31,0.96
1500,Darwinia,Introversion Software,Introversion Software,"Indie, Strategy","Single-player, Includes level editor, Steam Cloud, Full controller support","50,000 .. 100,000",740,200,9.99,9.99,0,2,"windows, mac, linux",7/14/2005,0,4.27,3.14
1510,Uplink,Introversion Software,Introversion Software,"Indie, Strategy",Single-player,"500,000 .. 1,000,000",1981,187,9.99,9.99,0,7,"windows, mac, linux",8/23/2006,0,2.05,9.28
1520,DEFCON,Introversion Software,Introversion Software,"Indie, Strategy","Multi-player, Single-player","500,000 .. 1,000,000",3093,468,9.99,9.99,0,11,"windows, mac, linux",9/29/2006,0,3.99,3.46
1530,Multiwinia,Introversion Software,Introversion Software,Indie,"Multi-player, Single-player, Co-op, Steam Achievements, Online PvP, Online Co-op, LAN PvP, LAN Co-op, PvP","500,000 .. 1,000,000",434,96,9.99,9.99,0,1,"windows, mac",9/19/2008,0,4.39,6.69
1600,Dangerous Waters,Sonalysts,Strategy First,Strategy,"Multi-player, Single-player","50,000 .. 100,000",251,76,14.99,14.99,0,3,windows,2/7/2006,0,3.44,1.48
1610,Space Empires IV Deluxe,Malfador Machinations,Strategy First,Strategy,"Multi-player, Single-player","50,000 .. 100,000",187,35,9.99,9.99,0,12,windows,2/7/2006,0,3.69,4.99
1630,Disciples II: Rise of the Elves ,Strategy First,Strategy First,Strategy,"Multi-player, Single-player, Co-op","50,000 .. 100,000",906,148,6.99,6.99,0,33,windows,7/6/2006,0,4.56,1.36
1640,Disciples II: Gallean's Return,Strategy First,Strategy First,Strategy,"Multi-player, Single-player, Co-op","50,000 .. 100,000",972,217,6.99,6.99,0,49,windows,7/6/2006,0,2.49,4.79
1670,Iron Warriors: T - 72 Tank Command ,Strategy First,Strategy First,Strategy,"Multi-player, Single-player","20,000 .. 50,000",172,103,4.99,4.99,0,0,windows,7/26/2006,0,3.74,5.31
1690,Space Empires V,Malfador Machinations,Strategy First,Strategy,"Multi-player, Single-player","50,000 .. 100,000",285,118,14.99,14.99,0,14,windows,10/16/2006,0,4.72,8.73
1700,Arx Fatalis,Arkane Studios,Arkane Studios,RPG,Single-player,"200,000 .. 500,000",1374,202,4.99,4.99,0,26,windows,4/3/2007,0,4.59,2.5
1840,Source Filmmaker,Valve,Valve,"Animation & Modeling, Video Production",Steam Workshop,"1,000,000 .. 2,000,000",28871,2063,0,0,0,1204,windows,7/10/2012,0,4.06,3.61
1900,Earth 2160,Reality Pump Studios,"Topware Interactive, ACE",Strategy,"Multi-player, Single-player, Co-op, Cross-Platform Multiplayer, Steam Trading Cards","500,000 .. 1,000,000",865,365,2.49,4.99,50,30,"windows, mac, linux",4/1/2006,0,4.56,7.13
1930,Two Worlds Epic Edition,Reality Pump Studios,Topware Interactive,RPG,"Multi-player, Single-player, Co-op, Partial Controller Support, Cross-Platform Multiplayer, Steam Trading Cards, Online PvP, Online Co-op, PvP","1,000,000 .. 2,000,000",3850,1251,3.99,9.99,60,56,"windows, mac, linux",4/30/2009,0,4.01,8.38
2100,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,"Action, RPG","Multi-player, Single-player, Valve Anti-Cheat enabled","1,000,000 .. 2,000,000",7795,701,9.99,9.99,0,37,windows,10/25/2006,0,3.46,7.23
2200,Quake III Arena,id Software,id Software,Action,"Multi-player, Single-player, Steam Cloud, Online PvP, LAN PvP, PvP","500,000 .. 1,000,000",2829,132,14.99,14.99,0,40,windows,8/3/2007,0,2.57,8.24
2210,Quake 4,"RavenSoft, id Software",Bethesda Softworks,Action,"Multi-player, Single-player, Steam Cloud","200,000 .. 500,000",2174,308,14.99,14.99,0,26,windows,8/4/2011,15,2.2,3.39
2270,Wolfenstein 3D,id Software,Bethesda Softworks,Action,"Single-player, Steam Cloud","500,000 .. 1,000,000",2858,189,4.99,4.99,0,13,windows,8/3/2007,0,3.26,7
2280,DOOM (1993),id Software,id Software,Action,"Multi-player, Single-player, Co-op, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP","1,000,000 .. 2,000,000",12892,475,4.99,4.99,0,115,windows,8/3/2007,0,3.36,2.82
2290,Final DOOM,id Software,id Software,Action,"Single-player, Steam Cloud","200,000 .. 500,000",1039,176,0,0,0,6,windows,8/3/2007,0,3.71,3.82
2300,DOOM II,id Software,id Software,Action,"Multi-player, Single-player, Co-op, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP","500,000 .. 1,000,000",6305,337,4.99,4.99,0,95,windows,8/3/2007,0,2.63,0.28
2310,Quake,"id Software, Nightdive Studios, MachineGames",Bethesda Softworks,Action,"Multi-player, Single-player, Co-op, Steam Cloud, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, PvP","1,000,000 .. 2,000,000",10574,432,9.99,9.99,0,141,windows,8/3/2007,0,3.99,9.68
2320,Quake II,id Software,id Software,Action,"Multi-player, Single-player, Co-op, Steam Cloud, Online PvP, Online Co-op, LAN PvP, LAN Co-op, PvP","200,000 .. 500,000",3182,306,4.99,4.99,0,29,windows,8/3/2007,0,2.7,9.01
2330,Quake II Mission Pack: The Reckoning,Xatrix Entertainment,id Software,Action,"Multi-player, Single-player, Steam Cloud","200,000 .. 500,000",144,34,0,0,0,0,windows,8/3/2007,0,3.13,5.68
2340,Quake II Mission Pack: Ground Zero,Rogue Entertainment,id Software,Action,"Multi-player, Single-player, Steam Cloud","50,000 .. 100,000",124,85,0,0,0,2,windows,8/3/2007,0,4.99,3.61
2360,Hexen: Beyond Heretic,Raven Software,id Software,Action,"Single-player, Steam Cloud","200,000 .. 500,000",484,60,4.99,4.99,0,2,windows,8/3/2007,0,4.53,6.97
2370,Hexen: Deathkings of the Dark Citadel,Raven Software,id Software,Action,"Single-player, Steam Cloud","50,000 .. 100,000",113,33,4.99,4.99,0,1,windows,8/3/2007,0,2.88,0.05
2390,Heretic: Shadow of the Serpent Riders,Raven Software,id Software,Action,"Multi-player, Single-player, Steam Cloud","100,000 .. 200,000",802,51,4.99,4.99,0,1,windows,8/3/2007,0,4.5,2.37
2400,The Ship: Murder Party,Outerlight Ltd.,Blazing Griffin,"Action, Indie, RPG","Multi-player, Single-player, Valve Anti-Cheat enabled, Steam Trading Cards, Online PvP, LAN PvP, PvP","1,000,000 .. 2,000,000",5067,837,9.99,9.99,0,2,windows,7/11/2006,0,4.61,2.52
2420,The Ship: Single Player,Outerlight Ltd.,Blazing Griffin Ltd.,"Action, Indie, RPG",Single-player,"200,000 .. 500,000",635,266,9.99,9.99,0,1,windows,11/20/2006,0,4.2,2.57
2450,Bloody Good Time,Outerlight Ltd.,Ubisoft,Action,"Multi-player, Single-player, Steam Achievements","100,000 .. 200,000",761,221,4.99,4.99,0,0,windows,10/29/2010,0,4.25,3.66
2500,Shadowgrounds,Frozenbyte,Frozenbyte,Action,"Multi-player, Single-player, Shared/Split Screen, Steam Trading Cards, Remote Play Together","200,000 .. 500,000",1175,281,6.99,6.99,0,4,"windows, mac",5/8/2006,0,2.2,1.27
2520,Gumboy - Crazy Adventures,"CINEMAX, s.r.o.","CINEMAX, s.r.o.","Casual, Indie",Single-player,"50,000 .. 100,000",61,58,4.99,4.99,0,0,windows,12/19/2006,0,2.8,0.21
2570,Vigil: Blood Bitterness,Freegamer,HeR Interactive,"Indie, RPG",Single-player,"50,000 .. 100,000",29,114,0,0,0,0,windows,6/29/2007,0,3.66,5.48
2590,Alpha Prime,Black Element,Bohemia Interactive,Action,Single-player,"200,000 .. 500,000",742,619,4.99,4.99,0,0,windows,11/7/2007,0,4.21,7.11
2600,Vampire: The Masquerade - Bloodlines,Troika Games,Activision,Action,Single-player,"500,000 .. 1,000,000",10849,588,19.99,19.99,0,138,windows,3/22/2007,0,4.46,5.61
2610,GUN,Neversoft,Activision,Action,Single-player,"100,000 .. 200,000",1332,132,19.99,19.99,0,8,windows,10/13/2006,0,4.44,5.94
2620,Call of Duty,Infinity Ward,Activision,Action,"Multi-player, Single-player","200,000 .. 500,000",4074,225,19.99,19.99,0,49,windows,10/13/2006,0,2.52,1.39
2630,Call of Duty 2,Infinity Ward,Activision,Action,"Multi-player, Single-player","5,000,000 .. 10,000,000",6667,468,19.99,19.99,0,264,"windows, mac",10/13/2006,0,4.38,2.73
2640,Call of Duty: United Offensive,Gray Matter Studios,Activision,Action,"Multi-player, Single-player","200,000 .. 500,000",1215,177,19.99,19.99,0,50,windows,10/13/2006,0,3.68,5.23
2700,RollerCoaster Tycoon 3: Platinum,"Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)","Simulation, Strategy",Single-player,"1,000,000 .. 2,000,000",4498,431,0,0,0,96,windows,3/12/2008,0,2.19,0.56
2710,Act of War: Direct Action,Eugen Systems,THQ Nordic,Action,"Multi-player, Single-player","100,000 .. 200,000",409,50,2.99,2.99,0,3,windows,3/12/2008,0,2.32,8.97
2720,ThreadSpace: Hyperbol,Iocaine Studios,SEGA,"Action, Indie, Strategy","Multi-player, Co-op, Includes level editor, Online PvP, Online Co-op, LAN PvP, LAN Co-op, PvP","0 .. 20,000",35,11,0.99,0.99,0,0,windows,7/12/2007,0,4.94,2.08
2780,ARMA: Combat Operations,Bohemia Interactive,Bohemia Interactive,Action,"Multi-player, Single-player, Includes level editor","50,000 .. 100,000",173,77,7.99,7.99,0,2,windows,3/12/2008,0,4.62,0.56
2800,X2: The Threat,Egosoft,Egosoft,Strategy,"Single-player, Captions available, Steam Cloud","200,000 .. 500,000",330,70,4.99,4.99,0,8,windows,7/21/2006,0,2.71,5.78
2810,X3: Reunion,Egosoft,Egosoft,Strategy,"Single-player, Captions available, Steam Cloud","500,000 .. 1,000,000",410,169,9.99,9.99,0,18,"windows, mac, linux",7/21/2006,0,2.79,0.43
2820,X3: Terran Conflict,Egosoft,Egosoft,"Action, Simulation, Strategy","Single-player, Captions available, Steam Achievements, Steam Cloud, Full controller support","500,000 .. 1,000,000",2176,373,15.99,15.99,0,81,"windows, mac, linux",10/16/2008,0,4.38,5.5
2840,X: Beyond the Frontier,Egosoft,Egosoft,"Simulation, Strategy","Single-player, Steam Cloud","200,000 .. 500,000",227,81,4.99,4.99,0,3,windows,10/8/2010,0,2.03,2.44
2850,X: Tension,Egosoft,Egosoft,"Simulation, Strategy","Single-player, Steam Cloud","200,000 .. 500,000",80,29,4.99,4.99,0,2,windows,10/8/2010,0,3.21,9.68
2870,X Rebirth,Egosoft,Egosoft,"Action, Simulation","Single-player, Captions available, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Steam Workshop","200,000 .. 500,000",3094,4103,29.99,29.99,0,29,"windows, mac, linux",11/15/2013,0,2.5,3.68
2900,688(I) Hunter/Killer,Sonalysts,Strategy First,Strategy,"Multi-player, Single-player","20,000 .. 50,000",118,37,9.99,9.99,0,4,windows,10/26/2006,0,2.54,6.36
2910,Fleet Command,Sonalysts,Strategy First,Strategy,Single-player,"50,000 .. 100,000",296,51,9.99,9.99,0,15,windows,10/26/2006,0,3.19,7.19
2920,Sub Command,Sonalysts,Strategy First,Strategy,"Multi-player, Single-player, Co-op, Includes level editor","50,000 .. 100,000",76,24,9.99,9.99,0,2,windows,10/26/2006,0,3.99,1.34
2990,FlatOut 2,Bugbear Entertainment,Strategy First,Racing,Single-player,"200,000 .. 500,000",12524,537,9.99,9.99,0,149,windows,12/21/2006,0,3.89,9.13
3010,Xpand Rally,Techland,Techland,Racing,"Multi-player, Single-player","20,000 .. 50,000",309,75,0.54,4.99,89,6,windows,8/24/2006,0,3.79,1.74
3020,Call of Juarez,Techland,Techland Publishing,Action,"Multi-player, Single-player, Steam Trading Cards","200,000 .. 500,000",1987,464,1.99,9.99,80,31,windows,11/8/2007,0,4.2,4.61
3050,Xpand Rally Xtreme,Techland,Techland,Racing,"Multi-player, Single-player","20,000 .. 50,000",213,67,0.54,4.99,89,4,windows,10/8/2008,0,4.11,9.05
3130,Men of War: Red Tide,Fulqrum Publishing,Fulqrum Publishing,Strategy,"Single-player, Steam Cloud","200,000 .. 500,000",554,99,4.99,4.99,0,15,windows,11/1/2009,0,2.03,5.08
3170,King's Bounty: Armored Princess,Katauri Interactive,Fulqrum Publishing,"RPG, Strategy","Single-player, Steam Cloud","500,000 .. 1,000,000",912,87,9.99,9.99,0,52,"windows, mac",11/19/2009,0,2.16,3.48
3230,Genesis Rising,Metamorf,THQ Nordic,Strategy,"Multi-player, Single-player","20,000 .. 50,000",40,105,4.99,4.99,0,2,windows,8/6/2007,0,3.88,4.04
3260,Safecracker: The Ultimate Puzzle Adventure,Kheops Studio,HandyGames,"Adventure, Casual",Single-player,"100,000 .. 200,000",319,229,4.99,4.99,0,1,windows,8/29/2007,0,2.36,5.08
3270,Painkiller Overdose,Mindware Studios,Prime Matter,Action,"Multi-player, Single-player","100,000 .. 200,000",667,237,4.99,4.99,0,3,windows,10/30/2007,0,2.76,3.85
3300,Bejeweled 2 Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet","50,000 .. 100,000",403,20,4.99,4.99,0,49,"windows, mac",8/30/2006,0,4.95,6.71
3310,Chuzzle Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,Single-player,"50,000 .. 100,000",682,47,4.99,4.99,0,80,"windows, mac",8/30/2006,0,4.19,5.11
3320,Insaniquarium Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,Single-player,"200,000 .. 500,000",3745,128,4.99,4.99,0,71,windows,8/30/2006,0,3.88,6.6
3330,Zuma Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,Single-player,"200,000 .. 500,000",2496,134,4.99,4.99,0,549,"windows, mac",8/30/2006,0,4.81,1.62
3340,AstroPop Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",61,18,4.99,4.99,0,2,windows,8/30/2006,0,3.19,7.9
3350,Bejeweled Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet","50,000 .. 100,000",138,18,4.99,4.99,0,7,windows,8/30/2006,0,3.03,8.15
3360,Big Money! Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",85,9,4.99,4.99,0,6,windows,8/30/2006,0,2.77,5.93
3380,Dynomite Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"50,000 .. 100,000",184,10,4.99,4.99,0,34,windows,8/30/2006,0,2.95,0.85
3390,Feeding Frenzy 2 Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,Single-player,"100,000 .. 200,000",1292,40,4.99,4.99,0,18,windows,8/30/2006,0,3.05,9.9
3400,Hammer Heads Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",51,6,0,0,0,2,windows,8/30/2006,0,3.03,8.32
3410,Heavy Weapon Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"50,000 .. 100,000",196,45,4.99,4.99,0,3,windows,8/30/2006,0,2.49,8.7
3420,Iggle Pop Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",35,6,4.99,4.99,0,3,windows,8/30/2006,0,3.4,7.14
3430,Pizza Frenzy Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"50,000 .. 100,000",131,5,4.99,4.99,0,3,windows,8/30/2006,0,4.78,8.7
3440,Rocket Mania Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",65,3,0,0,0,3,windows,8/30/2006,0,3.23,2.92
3450,Typer Shark! Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"50,000 .. 100,000",221,44,4.99,4.99,0,15,windows,8/30/2006,0,2.05,6.88
3460,Talismania Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",51,3,4.99,4.99,0,2,windows,8/30/2006,0,4.67,5.79
3480,Peggle Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet","200,000 .. 500,000",4799,155,4.99,4.99,0,168,"windows, mac",3/6/2007,0,3.48,2.25
3483,Peggle Extreme,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet","200,000 .. 500,000",1356,94,0,0,0,12,windows,9/11/2007,0,2.95,3.51
3500,Mystery P.I. - The Lottery Ticket,SpinTop Games,"PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",30,7,4.99,4.99,0,2,windows,10/16/2007,0,2.35,9.32
3510,Amazing Adventures The Lost Tomb,SpinTop Games,"PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",49,11,4.99,4.99,0,1,windows,12/13/2007,0,4.29,9.59
3520,Mystery P.I. - The Vegas Heist,SpinTop Games,"PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",29,8,4.99,4.99,0,2,windows,6/5/2008,0,3.99,0.43
3530,Amazing Adventures Around the World,SpinTop Games,"PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",52,11,4.99,4.99,0,3,windows,4/15/2009,0,2.17,6.45
3540,Peggle Nights,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet","100,000 .. 200,000",1302,59,4.99,4.99,0,84,"windows, mac",10/15/2008,0,2.82,4.83
3560,Bejeweled Twist,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts","Casual, Strategy",Single-player,"50,000 .. 100,000",300,62,4.99,4.99,0,15,windows,11/18/2008,0,4.66,2.2
3570,Mystery P.I. - The New York Fortune,SpinTop Games,"PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",24,5,4.99,4.99,0,2,windows,1/28/2009,0,2.23,6.63
3580,The Wizard's Pen,"PopCap Games, Inc.","PopCap Games, Inc.",Casual,Single-player,"20,000 .. 50,000",28,4,4.99,4.99,0,0,windows,2/18/2009,0,4.34,2.73
