,Company Name,Employee Job Title,Employee Gender,Employee Age,Employee Physical Location,Employee Work Location,Retention Priority,Employee Salary,Employment Status,"Last Performance Rating (5=best, 1=worst)",Retained
68,Wipro,Full Stack Developer,m,53,Dubai,remote,2,266000,Part-Time,3.0,1
69,Apple,Python Developer,m,32,Munich,hybrid,2,648000,Full Time,1.4,0
70,Amazon,Test Engineer,f,47,Moscow,hybrid,3,607000,Full Time,1.1,1
71,Cognizant,Python Developer,other,42,Munich,remote,3,389000,Part-Time,4.5,1
72,Mastercard,Research Engineer,other,37,London,hybrid,5,256000,Full Time,4.6,1
73,Wipro,Test Engineer,other,19,Sydney,hybrid,1,288000,Full Time,0.8,1
74,Uber,Back End Developer,f,48,Tokyo,onsite,1,402000,Part-Time,4.3,0
75,Amazon,Data Analyst,m,50,New York,hybrid,2,645000,Full Time,1.0,0
76,Infosys,Full Stack Developer,other,27,Moscow,hybrid,2,586000,Full Time,4.8,1
77,Microsoft,Data Analyst,m,19,Moscow,hybrid,3,460000,Part-Time,0.6,1
78,Wipro,Data Analyst,f,36,Moscow,onsite,4,705000,Part-Time,0.4,0
79,Infosys,Software Development Engineer,m,41,Manchester,remote,1,141000,Full Time,2.1,0
80,IBM,Full Stack Developer,m,18,Bombay,onsite,3,128000,Full Time,4.4,0
81,IBM,Front End Developer,other,52,Manchester,remote,4,283000,Part-Time,1.1,0
82,Microsoft,Software Development Engineer,f,20,Manchester,hybrid,4,643000,Intern,4.0,1
83,Mastercard,Python Developer,f,18,New York,remote,2,913000,Full Time,1.2,1
84,Apple,Back End Developer,m,52,Dubai,remote,4,594000,Full Time,2.2,0
85,Wipro,Front End Developer,f,21,California,remote,5,903000,Part-Time,4.3,0
86,Microsoft,Front End Developer,other,51,Manchester,onsite,2,230000,Part-Time,4.3,0
87,Apple,Front End Developer,other,48,Dubai,onsite,2,23000,Full Time,0.7,0
88,Wipro,IOS Developer,f,51,London,hybrid,3,56000,Part-Time,4.7,0
89,Apple,Front End Developer,other,49,Tokyo,hybrid,5,437000,Part-Time,2.7,1
90,IBM,Python Developer,f,21,Munich,hybrid,4,96000,Full Time,2.1,0
91,Wipro,Front End Developer,m,41,Manchester,hybrid,2,628000,Part-Time,1.8,0
92,Infosys,Front End Developer,f,45,London,hybrid,3,149000,Intern,2.7,0
93,Wipro,Research Engineer,m,49,Tokyo,onsite,3,193000,Full Time,3.1,1
94,Microsoft,IOS Developer,m,24,Tokyo,onsite,3,719000,Intern,2.4,1
95,IBM,Full Stack Developer,f,48,London,hybrid,3,231000,Full Time,2.6,0
96,Amazon,Data Analyst,f,45,New York,hybrid,4,972000,Part-Time,4.8,0
97,Amazon,IOS Developer,f,40,London,onsite,1,923000,Part-Time,2.8,1
98,Google,Front End Developer,f,37,Dubai,onsite,5,631000,Full Time,4.2,1
99,Amazon,Python Developer,other,51,Moscow,onsite,1,260000,Intern,4.7,0
100,Apple,Back End Developer,m,25,Munich,remote,3,728000,Intern,4.7,1
101,IBM,Android Developer,m,32,Munich,onsite,4,741000,Intern,3.8,1
102,Wipro,Software Development Engineer,other,26,London,hybrid,3,331000,Part-Time,1.8,0
103,Infosys,Full Stack Developer,m,40,Bombay,remote,3,786000,Part-Time,2.0,1
104,Cognizant,Android Developer,other,21,Sydney,remote,5,691000,Full Time,1.9,1
105,IBM,Test Engineer,f,25,Moscow,hybrid,2,433000,Full Time,3.4,0
106,Wipro,Back End Developer,m,45,California,onsite,1,899000,Full Time,3.4,0
107,Mastercard,Android Developer,m,43,Tokyo,remote,2,871000,Part-Time,3.2,0
108,Mastercard,Data Analyst,other,36,Bombay,hybrid,1,487000,Full Time,1.7,0
109,Uber,Test Engineer,f,37,Dubai,hybrid,5,848000,Part-Time,2.8,1
110,Google,Software Development Engineer,other,28,Tokyo,onsite,4,48000,Part-Time,1.3,0
111,Cognizant,Front End Developer,other,25,New York,onsite,2,716000,Intern,4.0,1
112,Amazon,Software Development Engineer,m,32,Bombay,remote,1,765000,Part-Time,2.4,0
113,IBM,Front End Developer,f,49,Dubai,onsite,2,604000,Part-Time,1.0,1
114,Uber,Front End Developer,f,44,Bombay,remote,2,861000,Full Time,1.7,0
115,Amazon,Full Stack Developer,m,24,Sydney,onsite,5,95000,Part-Time,1.4,0
116,Cognizant,Data Analyst,other,49,Manchester,onsite,3,166000,Part-Time,2.6,1
117,Amazon,Python Developer,m,22,California,remote,5,795000,Part-Time,4.2,1
118,Wipro,Test Engineer,other,43,New York,onsite,5,701000,Full Time,0.3,0
119,Microsoft,Data Analyst,f,51,California,remote,3,688000,Part-Time,3.4,1
120,IBM,Back End Developer,m,37,Munich,hybrid,3,762000,Full Time,0.5,0
121,Infosys,Data Analyst,other,32,California,hybrid,1,713000,Full Time,3.0,1
122,Mastercard,Research Engineer,m,32,Bombay,onsite,2,442000,Full Time,1.3,0
123,Cognizant,Python Developer,f,30,Bombay,onsite,1,199000,Full Time,2.7,0
124,Mastercard,Research Engineer,other,28,Dubai,hybrid,5,69000,Part-Time,1.5,1
125,Wipro,Research Engineer,f,43,California,onsite,1,84000,Part-Time,4.4,0
126,Wipro,Front End Developer,m,34,Sydney,remote,5,29000,Full Time,2.2,0
127,Uber,Front End Developer,m,48,California,remote,4,435000,Intern,4.4,1
128,Uber,Test Engineer,m,45,Tokyo,hybrid,2,744000,Part-Time,4.7,1
129,Cognizant,Front End Developer,other,54,Bombay,onsite,2,241000,Part-Time,0.2,0
130,Cognizant,Test Engineer,m,49,Sydney,remote,5,187000,Part-Time,0.9,1
131,Infosys,Python Developer,other,27,Tokyo,hybrid,3,795000,Full Time,4.0,0
132,Amazon,IOS Developer,m,30,Tokyo,hybrid,2,898000,Part-Time,4.6,0
133,Apple,Test Engineer,other,39,California,onsite,2,40000,Intern,1.9,1
134,Apple,Data Analyst,m,42,New York,onsite,1,308000,Part-Time,3.0,1
135,Microsoft,Python Developer,f,45,Munich,remote,2,503000,Intern,1.9,1
136,Wipro,Data Analyst,other,49,Dubai,hybrid,3,935000,Intern,3.6,1
137,Amazon,Full Stack Developer,f,51,Moscow,hybrid,1,33000,Full Time,2.4,1
138,Google,Front End Developer,m,54,Sydney,onsite,4,841000,Full Time,3.3,1
139,Google,Software Development Engineer,m,44,New York,remote,2,315000,Part-Time,4.7,0
140,Microsoft,Back End Developer,other,36,London,remote,3,150000,Part-Time,0.2,1
141,Uber,Test Engineer,other,47,California,remote,4,112000,Full Time,1.3,0
142,Wipro,Research Engineer,other,38,Manchester,hybrid,4,265000,Full Time,2.8,0
143,Amazon,Full Stack Developer,f,51,New York,hybrid,1,776000,Full Time,4.0,0
144,Microsoft,IOS Developer,other,25,New York,hybrid,3,17000,Intern,4.0,0
145,Uber,Python Developer,other,41,Moscow,onsite,4,750000,Full Time,2.5,1
146,Mastercard,Research Engineer,f,31,California,remote,2,146000,Full Time,2.0,1
147,Apple,Python Developer,f,44,New York,onsite,1,441000,Part-Time,1.7,0
148,Infosys,IOS Developer,other,29,Tokyo,remote,4,643000,Full Time,0.4,0
149,Wipro,Python Developer,other,37,Munich,hybrid,3,839000,Intern,0.6,1
150,Wipro,Front End Developer,other,50,Bombay,hybrid,2,720000,Full Time,4.3,0
151,Apple,Android Developer,f,38,Moscow,remote,4,49000,Intern,0.7,0
152,Infosys,Test Engineer,f,27,New York,hybrid,1,407000,Part-Time,4.3,0
153,Infosys,Python Developer,m,36,Bombay,onsite,1,486000,Intern,4.6,0
154,Uber,Data Analyst,other,40,Manchester,hybrid,3,662000,Full Time,1.1,1
155,Mastercard,Android Developer,other,55,Moscow,remote,3,958000,Part-Time,3.0,0
156,Wipro,Python Developer,other,32,California,hybrid,2,601000,Part-Time,3.0,0
157,Wipro,Software Development Engineer,m,37,California,remote,1,366000,Part-Time,0.6,1
158,IBM,Front End Developer,other,32,Manchester,remote,1,632000,Full Time,3.3,0
159,Apple,Full Stack Developer,f,50,Tokyo,onsite,5,992000,Part-Time,4.4,1
160,Amazon,Front End Developer,other,36,Tokyo,onsite,1,118000,Full Time,4.7,0
161,Microsoft,Front End Developer,f,51,New York,remote,1,960000,Full Time,1.7,0
162,Wipro,Front End Developer,m,43,London,hybrid,5,55000,Intern,3.8,1
163,IBM,Full Stack Developer,m,33,Manchester,onsite,4,785000,Intern,5.0,0
164,Infosys,Python Developer,other,21,Tokyo,onsite,2,490000,Part-Time,1.3,0
165,Cognizant,IOS Developer,other,50,New York,remote,3,554000,Intern,0.5,1
166,Infosys,Front End Developer,m,23,Dubai,hybrid,4,226000,Part-Time,0.3,0
167,Uber,Test Engineer,f,28,Moscow,hybrid,1,225000,Full Time,4.2,0
168,Wipro,Test Engineer,other,48,Dubai,remote,5,577000,Full Time,1.5,0
169,Cognizant,Back End Developer,f,33,Tokyo,onsite,3,121000,Full Time,3.9,1
170,Apple,Data Analyst,other,20,New York,onsite,3,361000,Part-Time,0.4,1
171,Microsoft,Software Development Engineer,m,32,New York,onsite,2,443000,Full Time,3.1,1
172,Amazon,Data Analyst,m,23,Dubai,hybrid,3,763000,Full Time,2.9,1
173,Mastercard,Research Engineer,other,44,Munich,remote,4,628000,Full Time,3.2,1
174,IBM,Software Development Engineer,f,25,London,remote,2,907000,Intern,1.9,0
175,Mastercard,Data Analyst,other,40,Tokyo,remote,5,354000,Part-Time,3.0,0
176,Uber,Python Developer,other,31,Dubai,onsite,5,20000,Part-Time,5.0,0
177,Amazon,Python Developer,m,29,Sydney,hybrid,4,254000,Part-Time,1.4,1
178,Apple,Front End Developer,m,20,Sydney,hybrid,4,331000,Full Time,3.5,0
179,IBM,Android Developer,f,32,Munich,hybrid,4,65000,Intern,1.8,1
180,Cognizant,Software Development Engineer,m,26,Manchester,remote,4,813000,Full Time,1.4,0
181,Wipro,Python Developer,m,35,New York,remote,1,259000,Part-Time,3.7,1
182,Microsoft,Front End Developer,m,36,Manchester,remote,5,506000,Part-Time,2.0,1
183,Amazon,Python Developer,f,50,Tokyo,remote,5,860000,Intern,2.2,1
184,IBM,Android Developer,other,18,Sydney,onsite,3,516000,Part-Time,1.6,1
185,Amazon,Software Development Engineer,f,31,Sydney,remote,5,124000,Full Time,0.1,1
186,Microsoft,Test Engineer,f,39,Dubai,onsite,3,988000,Intern,4.7,1
187,Wipro,Full Stack Developer,other,26,Munich,hybrid,5,614000,Full Time,1.9,0
188,Wipro,Python Developer,m,32,New York,remote,1,481000,Intern,4.6,1
189,Microsoft,Software Development Engineer,m,27,Tokyo,onsite,5,898000,Full Time,1.1,0
190,IBM,IOS Developer,other,50,London,hybrid,1,20000,Part-Time,0.5,0
191,Infosys,Android Developer,m,45,California,remote,2,825000,Full Time,1.1,1
192,Uber,Back End Developer,other,18,Moscow,hybrid,5,858000,Full Time,4.9,0
193,Cognizant,Python Developer,other,40,Tokyo,remote,4,329000,Full Time,3.4,0
194,IBM,Full Stack Developer,other,52,Bombay,hybrid,2,540000,Full Time,1.4,0
195,Microsoft,IOS Developer,other,33,Sydney,hybrid,2,844000,Part-Time,4.4,0
196,Amazon,Python Developer,f,47,Dubai,remote,4,686000,Part-Time,0.2,1
197,Apple,IOS Developer,f,33,New York,onsite,4,390000,Full Time,0.7,0
198,Infosys,Back End Developer,f,23,Manchester,remote,5,781000,Full Time,1.1,0
199,Uber,Full Stack Developer,f,43,London,onsite,3,727000,Part-Time,0.4,0
200,Microsoft,Data Analyst,f,50,New York,remote,3,304000,Full Time,0.8,0
201,Mastercard,Python Developer,m,35,Manchester,hybrid,1,922000,Full Time,3.9,0
202,Cognizant,Android Developer,other,31,Munich,onsite,4,431000,Intern,5.0,1
203,Infosys,Software Development Engineer,f,22,Moscow,hybrid,3,94000,Part-Time,4.0,0
204,Infosys,Software Development Engineer,f,19,New York,remote,4,345000,Part-Time,0.1,1
205,Cognizant,IOS Developer,other,39,London,hybrid,3,431000,Part-Time,0.6,1
206,Infosys,Data Analyst,other,50,Manchester,hybrid,4,153000,Full Time,4.0,0
207,Amazon,Back End Developer,other,55,Dubai,hybrid,2,897000,Full Time,2.1,0
208,Uber,Data Analyst,other,35,Moscow,remote,5,16000,Part-Time,4.1,1
209,Cognizant,Test Engineer,f,31,Tokyo,hybrid,3,278000,Intern,1.0,1
210,Wipro,Front End Developer,other,24,California,hybrid,4,632000,Part-Time,2.4,1
211,Infosys,Data Analyst,f,49,Dubai,hybrid,2,490000,Part-Time,3.0,1
212,Microsoft,Front End Developer,other,50,Moscow,remote,5,394000,Intern,2.6,0
213,Amazon,Data Analyst,m,35,Tokyo,onsite,1,549000,Full Time,1.2,1
214,Amazon,Front End Developer,other,39,Manchester,hybrid,2,898000,Full Time,0.6,0
215,Cognizant,Python Developer,f,50,California,hybrid,2,631000,Part-Time,3.3,1
216,Uber,Front End Developer,f,53,Dubai,onsite,1,311000,Full Time,2.5,1
217,Google,Research Engineer,other,25,Moscow,remote,2,648000,Full Time,3.4,0
218,Amazon,IOS Developer,m,29,Moscow,onsite,3,507000,Part-Time,2.2,1
219,Infosys,Full Stack Developer,f,38,Moscow,hybrid,5,410000,Full Time,2.3,1
220,IBM,Software Development Engineer,other,51,Dubai,hybrid,1,600000,Part-Time,1.3,1
221,Infosys,Research Engineer,m,26,London,onsite,1,541000,Full Time,1.2,0
222,Infosys,Data Analyst,other,32,Dubai,hybrid,5,697000,Full Time,4.6,1
223,Wipro,Front End Developer,f,27,Sydney,remote,3,714000,Part-Time,4.0,1
224,Mastercard,Python Developer,f,32,Sydney,remote,4,101000,Intern,5.0,1
225,Cognizant,Software Development Engineer,other,51,New York,remote,3,918000,Full Time,3.6,1
226,Cognizant,Test Engineer,f,22,California,remote,4,641000,Part-Time,2.2,0
227,Amazon,IOS Developer,other,35,Manchester,remote,1,39000,Full Time,4.2,1
228,Amazon,Software Development Engineer,f,53,New York,hybrid,3,703000,Full Time,3.1,1
229,Wipro,Back End Developer,other,35,Bombay,remote,2,998000,Full Time,2.3,0
230,Mastercard,Test Engineer,other,27,New York,hybrid,4,669000,Part-Time,3.8,0
231,Infosys,Full Stack Developer,m,52,California,hybrid,1,454000,Full Time,4.6,1
232,Microsoft,Data Analyst,m,26,Tokyo,hybrid,2,646000,Full Time,2.6,1
233,Google,Test Engineer,m,46,Munich,hybrid,2,30000,Full Time,0.5,1
234,Apple,Data Analyst,other,43,Manchester,onsite,5,582000,Full Time,0.5,0
235,Amazon,Test Engineer,other,35,London,onsite,3,33000,Part-Time,0.8,0
236,Uber,Data Analyst,m,46,Manchester,onsite,3,835000,Full Time,2.5,1
237,IBM,Front End Developer,f,37,London,hybrid,1,109000,Full Time,1.8,1
238,Mastercard,Software Development Engineer,other,18,California,remote,2,652000,Full Time,3.2,0
239,Amazon,IOS Developer,f,27,Tokyo,remote,4,867000,Part-Time,2.0,0
240,Microsoft,Research Engineer,m,33,Sydney,remote,2,998000,Full Time,2.4,0
241,IBM,Full Stack Developer,f,48,Manchester,onsite,1,488000,Full Time,4.1,0
242,Wipro,IOS Developer,other,46,Tokyo,hybrid,2,591000,Full Time,3.2,0
243,Microsoft,Back End Developer,other,24,Sydney,hybrid,2,730000,Part-Time,1.2,1
244,IBM,Software Development Engineer,m,18,Moscow,hybrid,2,996000,Part-Time,2.8,0
245,Wipro,Full Stack Developer,f,40,Manchester,onsite,4,900000,Full Time,2.2,1
246,Cognizant,Back End Developer,other,30,Dubai,hybrid,2,916000,Full Time,1.5,0
247,Apple,Research Engineer,other,26,Manchester,onsite,2,463000,Full Time,5.0,0
248,Infosys,Data Analyst,other,47,Dubai,remote,4,426000,Full Time,2.4,1
249,IBM,Research Engineer,m,33,Moscow,onsite,5,661000,Intern,0.9,0
250,Cognizant,Research Engineer,other,53,London,hybrid,4,376000,Full Time,3.7,1
251,Cognizant,Data Analyst,m,48,Dubai,hybrid,1,854000,Part-Time,4.1,0
252,IBM,Front End Developer,m,21,Manchester,hybrid,1,779000,Full Time,4.1,1
253,IBM,Test Engineer,m,25,Sydney,hybrid,4,944000,Part-Time,1.0,0
254,Uber,Back End Developer,f,55,Moscow,onsite,4,363000,Intern,2.1,0
255,Mastercard,Back End Developer,f,20,London,remote,1,755000,Intern,2.0,1
256,Infosys,Front End Developer,m,31,Tokyo,remote,5,502000,Full Time,1.1,1
257,Apple,IOS Developer,m,50,Munich,onsite,1,596000,Part-Time,2.3,0
258,Mastercard,Research Engineer,other,46,Sydney,hybrid,5,251000,Full Time,1.5,0
259,Apple,Software Development Engineer,m,54,Dubai,onsite,3,64000,Full Time,1.4,0
260,Microsoft,Back End Developer,f,41,London,onsite,3,241000,Part-Time,0.2,1
261,Microsoft,Data Analyst,m,45,Sydney,hybrid,4,451000,Intern,2.1,0
262,Google,Test Engineer,m,24,Munich,hybrid,1,798000,Full Time,0.6,1
263,Google,Data Analyst,f,38,Tokyo,onsite,4,247000,Intern,5.0,1
264,Cognizant,Front End Developer,f,21,Moscow,onsite,1,641000,Full Time,0.9,1
265,Wipro,Research Engineer,f,42,Sydney,remote,4,309000,Part-Time,0.5,0
266,Mastercard,Data Analyst,other,46,London,remote,5,155000,Full Time,0.9,0
267,Mastercard,IOS Developer,other,53,Sydney,onsite,1,733000,Full Time,4.0,0
268,IBM,Back End Developer,other,49,Munich,onsite,5,169000,Full Time,1.4,0
269,Uber,Test Engineer,other,21,Moscow,remote,4,159000,Intern,1.2,1
270,Microsoft,Android Developer,f,45,London,onsite,2,897000,Full Time,2.7,1
271,Mastercard,Test Engineer,other,24,Sydney,remote,4,872000,Intern,3.9,1
272,Wipro,Back End Developer,m,39,Manchester,hybrid,1,273000,Part-Time,2.7,0
273,Infosys,Full Stack Developer,f,28,Manchester,onsite,3,75000,Full Time,3.1,0
274,IBM,Software Development Engineer,m,43,California,onsite,5,432000,Full Time,2.7,1
275,Google,Android Developer,f,37,Moscow,onsite,5,722000,Part-Time,1.2,0
276,IBM,Android Developer,other,26,Sydney,onsite,5,828000,Full Time,3.7,1
277,Apple,Data Analyst,m,52,Munich,remote,2,749000,Full Time,1.9,0
278,Cognizant,Full Stack Developer,f,25,Munich,remote,1,566000,Part-Time,3.4,0
279,IBM,Back End Developer,other,26,Bombay,onsite,4,571000,Full Time,1.6,0
280,Google,Research Engineer,f,23,Dubai,onsite,1,548000,Full Time,1.5,1
281,Google,Full Stack Developer,other,20,California,onsite,4,753000,Intern,3.8,0
282,Wipro,Front End Developer,m,37,California,onsite,3,9000,Full Time,4.9,1
283,Mastercard,Data Analyst,m,31,Sydney,onsite,3,923000,Part-Time,1.9,1
284,Apple,Back End Developer,m,29,Moscow,hybrid,1,81000,Full Time,3.6,0
285,Cognizant,Android Developer,m,24,Munich,onsite,1,992000,Part-Time,3.8,0
286,Wipro,Android Developer,other,46,London,onsite,4,205000,Full Time,2.2,1
287,Wipro,Front End Developer,m,45,Moscow,remote,4,1000,Full Time,4.6,1
288,Apple,Python Developer,other,33,California,onsite,4,801000,Part-Time,5.0,0
289,Microsoft,Full Stack Developer,other,46,California,onsite,2,462000,Intern,4.4,1
290,Microsoft,Front End Developer,m,30,Moscow,onsite,5,691000,Intern,4.1,0
291,Uber,Data Analyst,other,29,California,onsite,2,55000,Intern,2.7,1
292,Mastercard,Front End Developer,f,48,California,onsite,5,950000,Part-Time,4.4,1
293,Uber,Research Engineer,m,25,Sydney,remote,4,98000,Part-Time,5.0,1
294,Cognizant,Test Engineer,f,49,Moscow,onsite,3,782000,Part-Time,4.7,1
295,Apple,Full Stack Developer,f,40,New York,remote,3,2000,Full Time,2.9,0
296,Amazon,Full Stack Developer,other,29,Sydney,remote,1,147000,Intern,3.8,0
297,IBM,Software Development Engineer,m,20,California,onsite,4,735000,Full Time,1.9,0
298,Apple,Data Analyst,f,40,Manchester,hybrid,4,913000,Full Time,2.4,1
299,IBM,Front End Developer,m,24,Tokyo,hybrid,3,936000,Intern,1.0,0
300,IBM,Python Developer,m,23,Munich,onsite,2,362000,Full Time,0.8,0
301,Infosys,IOS Developer,f,55,Manchester,hybrid,2,518000,Part-Time,4.4,1
302,Microsoft,Python Developer,f,30,Moscow,hybrid,5,713000,Part-Time,0.9,1
303,Cognizant,IOS Developer,f,36,Manchester,onsite,3,494000,Full Time,3.5,1
304,Amazon,Back End Developer,m,41,Dubai,hybrid,5,400000,Part-Time,1.9,1
305,Infosys,Front End Developer,other,25,Moscow,remote,3,619000,Intern,1.4,0
306,Infosys,Data Analyst,f,21,New York,onsite,3,255000,Full Time,0.3,1
307,Cognizant,Python Developer,f,22,Manchester,hybrid,5,963000,Part-Time,1.4,0
308,IBM,Full Stack Developer,f,53,Sydney,remote,2,605000,Full Time,4.8,0
309,IBM,IOS Developer,m,32,California,onsite,5,867000,Full Time,2.9,1
310,Amazon,Full Stack Developer,m,46,California,onsite,2,689000,Full Time,0.6,1
311,Amazon,Front End Developer,m,45,New York,remote,5,116000,Intern,0.8,1
312,Uber,Data Analyst,m,19,London,onsite,4,195000,Full Time,5.0,0
313,Mastercard,Android Developer,m,33,California,hybrid,1,873000,Intern,3.8,0
314,Microsoft,Research Engineer,f,18,Moscow,remote,1,145000,Full Time,1.1,0
315,Mastercard,Python Developer,m,39,Tokyo,onsite,5,862000,Full Time,0.9,1
316,Wipro,Test Engineer,m,46,Manchester,hybrid,1,422000,Full Time,3.5,1
317,Microsoft,Research Engineer,f,27,California,remote,4,750000,Full Time,2.7,0
318,Cognizant,Python Developer,other,42,New York,remote,1,326000,Full Time,1.1,1
319,Infosys,Android Developer,f,37,Dubai,hybrid,3,198000,Full Time,3.1,0
320,Infosys,Android Developer,m,46,Manchester,hybrid,3,211000,Full Time,0.3,0
321,Wipro,Back End Developer,m,35,Manchester,onsite,3,603000,Intern,1.9,1
322,Microsoft,IOS Developer,f,49,Dubai,remote,2,672000,Full Time,0.5,1
323,Wipro,Front End Developer,other,31,London,hybrid,3,701000,Intern,2.8,1
324,IBM,IOS Developer,m,31,Bombay,remote,1,215000,Intern,3.9,0
